,N,C,c,c,c,c,c,c,O,C,F,F,F,c,c,n+,O-,c,c,c,Cl,c,Cl,c,c,n+,O-
n+,0.061280962,0.026764352,0.0110238455,0.011099699,0.011175973,0.011086749,0.011060536,0.011065762,0.044260245,0.027395291,0.017501963,0.017370265,0.017280184,0.011180176,0.011177293,0.039872855,0.04946455,0.01108005,0.011093945,0.011104444,0.025881747,0.0111967875,0.025719825,0.011144966,0.011138402,0.039773364,0.050601695
O-,0.016066171,0.1080372,0.017933108,0.01803028,0.018257014,0.018535754,0.018614106,0.01861268,0.02311632,0.11085918,0.012162888,0.012227393,0.012205425,0.018479189,0.01843144,0.02137309,0.028251126,0.01860277,0.018512147,0.0184515,0.012596466,0.018459052,0.0125433365,0.018618392,0.01853846,0.021162821,0.028098254
c,0.04569252,0.027245741,0.008898296,0.008971635,0.00900977,0.0089961365,0.009005035,0.009015198,0.03453396,0.027528003,0.033839803,0.03396802,0.033927407,0.008947254,0.008918885,0.028523194,0.025837002,0.008952472,0.009000708,0.00901561,0.017577624,0.009044035,0.01774226,0.009045115,0.008987343,0.028783055,0.026099464
c,0.045675054,0.027502246,0.008870953,0.008943647,0.008982888,0.008969658,0.008978146,0.008987923,0.034698796,0.027796134,0.03384995,0.0339827,0.033939984,0.008921574,0.008893489,0.02832288,0.025895413,0.008926708,0.008973542,0.0089877695,0.017437765,0.009017043,0.017608333,0.0090194335,0.008962012,0.028577454,0.02616073
c,0.04569882,0.027564503,0.008843635,0.008915159,0.008953702,0.008940855,0.008949265,0.008958861,0.034819506,0.02785837,0.03383215,0.03396834,0.033920947,0.008893331,0.008865729,0.028477013,0.025997128,0.008898873,0.008945908,0.0089601595,0.017360467,0.008989377,0.017531661,0.008991206,0.008933899,0.028730419,0.026264608
Cl,0.014399965,0.017767591,0.01565622,0.015601149,0.01550508,0.015575581,0.015624749,0.015639305,0.028758122,0.017504178,0.019727603,0.019771446,0.019751385,0.01571573,0.015735561,0.012640603,0.015700068,0.015897816,0.015877679,0.015874641,0.02555156,0.0157293,0.025385253,0.015725987,0.015760189,0.012833991,0.015842326
c,0.045639616,0.02708785,0.008836467,0.00890737,0.008946556,0.008933651,0.008940885,0.008949209,0.03444362,0.027362272,0.034038465,0.03417859,0.034127988,0.008882473,0.008854853,0.02894903,0.026315924,0.008892362,0.008943145,0.008957904,0.017294686,0.008983947,0.017463049,0.008982644,0.008923545,0.029182585,0.026573995
Cl,0.014479917,0.01736984,0.01567325,0.015617818,0.015522406,0.015594148,0.015642928,0.015657235,0.02845986,0.01711771,0.019617546,0.019662345,0.01964421,0.015730832,0.015750026,0.0126251895,0.016016915,0.015907463,0.015892573,0.015891802,0.02558712,0.015741583,0.025422798,0.01574217,0.01577752,0.012812223,0.016155275
c,0.045796752,0.026872288,0.008896044,0.008967216,0.009004868,0.008991696,0.00899971,0.009008685,0.034370054,0.027144292,0.033643976,0.033770967,0.033725023,0.008940036,0.008913537,0.029072931,0.026084358,0.008948874,0.009002201,0.009018132,0.01719914,0.009043693,0.017363036,0.009042348,0.00898383,0.029342592,0.02634891
c,0.045967776,0.026797634,0.008898405,0.008970127,0.009007447,0.008993323,0.009001013,0.009009843,0.034510832,0.027063588,0.0335528,0.03367639,0.0336272,0.008941692,0.008915363,0.029166128,0.025950238,0.008951571,0.009004519,0.009020148,0.01723723,0.009046039,0.017403957,0.009043035,0.008984562,0.029441213,0.026217133
n+,0.061081614,0.02659895,0.010942043,0.011012431,0.011091979,0.011006848,0.010978538,0.010980143,0.044887424,0.027224215,0.017452544,0.01731061,0.017220218,0.011092333,0.011088828,0.040245064,0.049510956,0.010993956,0.011007127,0.011017487,0.026067028,0.011114836,0.025910981,0.011058125,0.0110512,0.040134933,0.050678983
O-,0.015950227,0.10777265,0.017747289,0.017840305,0.018063534,0.01833725,0.018411703,0.01840802,0.023243397,0.11059156,0.012141249,0.012198391,0.0121790785,0.018289842,0.018241469,0.021143802,0.028678017,0.018412486,0.018320616,0.018259073,0.012598388,0.018269267,0.01255102,0.018431421,0.018350597,0.020956375,0.028526392
