,N,C,c,c,c,c,c,c,O,C,F,F,F,c,c,n+,O-,c,c,c,Cl,c,Cl,c,c,n+,O-
N,0.022964433,0.013558562,0.01377308,0.013635935,0.013578188,0.0135878045,0.013575094,0.013568149,0.013214808,0.01343975,0.018254073,0.018192995,0.018112421,0.013324837,0.0133095,0.019496229,0.0160236,0.013424051,0.013456776,0.013444814,0.009960049,0.013354488,0.010088696,0.013406029,0.013392489,0.019330297,0.015998168
C,0.04164918,0.01926536,0.008388129,0.008405666,0.008389081,0.0082674725,0.008248705,0.008266539,0.06806671,0.019259145,0.02036448,0.020527525,0.0202786,0.008251367,0.0082752025,0.019920371,0.021741174,0.008367618,0.008463792,0.008514865,0.06272964,0.008436043,0.0604256,0.008388912,0.008422459,0.020074211,0.022097321
c,0.04518968,0.026631828,0.008979278,0.00905398,0.009091155,0.009074804,0.009083058,0.0090936795,0.03457027,0.026915625,0.033486173,0.03360951,0.03357378,0.009023843,0.008995357,0.028379614,0.02548692,0.009032868,0.009085586,0.009101633,0.01743415,0.009129756,0.017598616,0.009121387,0.009063802,0.028624538,0.025746845
c,0.045772612,0.026897054,0.0089842975,0.009057764,0.009095829,0.009080247,0.009088428,0.009099055,0.033987653,0.02718474,0.033569,0.033696312,0.03365745,0.009027756,0.008998111,0.028090123,0.025432883,0.009036116,0.009089009,0.0091047175,0.01745039,0.009132181,0.017620707,0.009124763,0.009067293,0.028320882,0.025687335
c,0.04637015,0.027142454,0.008866331,0.008940417,0.0089769075,0.008961664,0.008970128,0.0089806095,0.034499057,0.027424486,0.033733577,0.03386724,0.033824004,0.0089151105,0.008886552,0.028216157,0.025954932,0.008921903,0.008973951,0.00898974,0.017539559,0.009019294,0.017706811,0.009012239,0.00895673,0.02846167,0.026218342
c,0.046186056,0.026984096,0.00876824,0.008842521,0.008876492,0.008861091,0.008869355,0.008879175,0.034837317,0.027250523,0.03376511,0.033903033,0.033859726,0.008817752,0.008789553,0.029005,0.026039522,0.008822281,0.0088731,0.008889593,0.017594628,0.008918861,0.017751422,0.008911041,0.00885652,0.02927511,0.026312767
c,0.046129476,0.026930204,0.008773735,0.008847835,0.008881451,0.0088660475,0.008874143,0.00888368,0.034788966,0.027192218,0.03381141,0.033951372,0.033908036,0.00882224,0.00879403,0.029169194,0.025922975,0.00882608,0.008876593,0.00889324,0.017645177,0.008922294,0.017801307,0.008914125,0.008859423,0.02944037,0.026196599
c,0.04607159,0.026969697,0.008813006,0.0088870665,0.008921058,0.008905773,0.0089138495,0.008923327,0.03470025,0.027233543,0.03386445,0.034005553,0.033962432,0.008860809,0.0088326195,0.029097665,0.025791496,0.008864477,0.008914892,0.008931362,0.017673206,0.008960697,0.01783216,0.008952492,0.008897224,0.029363044,0.026061844
O,0.015259033,0.0074707204,0.011506673,0.011586431,0.011595455,0.011588261,0.0116042225,0.011634488,0.044032328,0.0076581305,0.0124230385,0.012355589,0.01236392,0.011733806,0.011729339,0.027812978,0.026175868,0.011810649,0.012005496,0.012059934,0.017476182,0.011943599,0.017389713,0.012001517,0.01203397,0.028448876,0.026414216
C,0.041747876,0.019783452,0.008355663,0.008374057,0.008361034,0.008240493,0.008219941,0.008235051,0.06855233,0.019762104,0.020573273,0.020742415,0.020496262,0.00822582,0.008247122,0.020070925,0.02200998,0.008333986,0.008428913,0.008479714,0.06237944,0.008402648,0.06001908,0.008361496,0.008393685,0.02022684,0.022368718
F,0.013757665,0.005708872,0.015893096,0.015902739,0.015690133,0.015792338,0.015929062,0.01605336,0.010502086,0.0057160426,0.020350544,0.020306045,0.020464733,0.015862064,0.015897771,0.022648271,0.014448447,0.015551042,0.015465913,0.0155021185,0.086128,0.015584182,0.08365657,0.015302204,0.015387913,0.022471467,0.014512431
F,0.013761511,0.005657562,0.015955098,0.015966196,0.015753185,0.015853666,0.015991163,0.016117536,0.010679408,0.005667379,0.020197893,0.020158902,0.02031509,0.01591955,0.015954103,0.022726448,0.014681406,0.0156138465,0.015527876,0.015561976,0.08610881,0.01564357,0.08365378,0.015366012,0.015452574,0.022548206,0.014749051
F,0.014064765,0.0056371302,0.015873747,0.015883176,0.01567024,0.015768854,0.015905272,0.016031373,0.010552362,0.0056434125,0.0201261,0.020088946,0.020241136,0.015836122,0.015869332,0.022996586,0.014723277,0.015526115,0.015442898,0.0154774375,0.086083636,0.015562995,0.08359639,0.015280508,0.015365444,0.022814654,0.014791359
c,0.04513241,0.027030565,0.008790618,0.008863794,0.008898387,0.008884007,0.008893365,0.008904166,0.03393375,0.027290054,0.033423834,0.03355695,0.03351918,0.008837495,0.008809657,0.028982688,0.025638107,0.008841637,0.008890596,0.008904986,0.017473226,0.008935911,0.017642524,0.008932344,0.008875073,0.029242774,0.02590007
c,0.04507365,0.02692868,0.008802305,0.00887527,0.008909855,0.008895554,0.0089049265,0.0089157885,0.033774912,0.027186334,0.033416763,0.033556443,0.033520114,0.00884935,0.0088217035,0.02882999,0.025507841,0.008854595,0.008902661,0.008916586,0.017515488,0.008947703,0.017687397,0.008944847,0.008887389,0.029087134,0.025767064
