,N,C,c,c,c,c,c,c,O,C,F,F,F,c,c,n+,O-,c,c,c,Cl,c,Cl,c,c,n+,O-
N,0.016552368,0.007800182,0.0077563734,0.0076823304,0.007685663,0.0077128876,0.0077219047,0.0077343388,0.008016404,0.007861209,0.009995005,0.01009051,0.010053221,0.007924095,0.007950931,0.022465132,0.113766216,0.0077761305,0.0076846955,0.0076578655,0.009739881,0.007754087,0.0097025735,0.007686306,0.0076515996,0.021911263,0.11186024
C,0.019452335,0.0053799143,0.0021777449,0.002181164,0.0021667564,0.0021530131,0.0021572139,0.0021631306,0.0057552345,0.005316739,0.004989019,0.0050388537,0.005009875,0.0021372098,0.0021524872,0.038311645,0.1966119,0.0021669548,0.0021850355,0.0021838418,0.018215794,0.0021463125,0.01799768,0.0021352202,0.0021433863,0.037934747,0.1906593
c,0.029097652,0.0066153314,0.0032478878,0.003251925,0.003278143,0.003225893,0.0032066205,0.0032032933,0.0064218836,0.0065282406,0.003935486,0.003991443,0.003977795,0.0032117378,0.0032339732,0.017622748,0.20109314,0.0033241415,0.003308514,0.00330471,0.011115595,0.0032928914,0.0110837165,0.003314144,0.0033067395,0.017518755,0.19823729
c,0.028795546,0.0066328556,0.003260445,0.0032638877,0.003289927,0.0032379937,0.0032187465,0.0032152848,0.006398637,0.006538733,0.0039364365,0.0039925925,0.003978827,0.0032221435,0.0032446757,0.017502658,0.20122166,0.0033346638,0.0033193748,0.003315843,0.010975917,0.003303947,0.010945157,0.0033248519,0.003317519,0.017388077,0.1984221
c,0.02899771,0.0065986835,0.0032424708,0.0032462454,0.003271792,0.0032199896,0.0032009552,0.0031976255,0.006345579,0.0065092705,0.0039942088,0.004051201,0.004037436,0.0032040044,0.003226601,0.017476363,0.20102869,0.0033158024,0.0033008752,0.0032972945,0.011034435,0.003285834,0.011004425,0.0033064894,0.0032995848,0.017362943,0.19824398
c,0.028339023,0.0065279324,0.0032314397,0.0032361473,0.0032615832,0.0032097097,0.003190881,0.0031878133,0.006371217,0.006442448,0.0040368373,0.00409402,0.004080073,0.0031947056,0.003217034,0.017577974,0.20202217,0.0033049833,0.0032906584,0.0032870679,0.011071698,0.0032753851,0.011041195,0.0032946342,0.0032877165,0.017459935,0.19917805
c,0.028051047,0.0065076747,0.00322778,0.0032326858,0.0032582236,0.0032064782,0.0031877114,0.0031846492,0.006379825,0.0064219655,0.004033168,0.004089963,0.0040758275,0.0031910618,0.0032134324,0.017591141,0.20257169,0.003301001,0.003287051,0.0032834476,0.011044128,0.0032713555,0.011013508,0.0032903969,0.0032833759,0.017469939,0.19971137
c,0.027967434,0.006504992,0.0032281536,0.003233029,0.0032588034,0.0032071066,0.0031882848,0.003185126,0.006382401,0.006418657,0.004012173,0.004068462,0.0040541776,0.0031911663,0.0032136873,0.017583914,0.20278363,0.0033013148,0.0032874153,0.0032837482,0.0109941345,0.0032714405,0.010963643,0.0032908288,0.0032837035,0.017461626,0.19992682
O,0.016180873,0.009267705,0.003341501,0.0033007672,0.0033083307,0.003290306,0.003271493,0.0032615862,0.003794984,0.008907682,0.0068579884,0.0069418466,0.0069642644,0.0033014733,0.003295456,0.009207552,0.23194744,0.0033335492,0.0033247627,0.0033341995,0.00699663,0.00334758,0.0069550797,0.0033905252,0.003378666,0.0089283865,0.23350266
C,0.018776022,0.005348416,0.0022113933,0.0022150637,0.0022006272,0.0021865878,0.0021905664,0.0021961664,0.0058165123,0.0052840374,0.0050451276,0.005096606,0.0050676316,0.0021696468,0.002185222,0.038062077,0.19670424,0.002199862,0.00221848,0.002217599,0.017757244,0.0021797568,0.017547322,0.0021682945,0.002176465,0.037684344,0.1907812
F,0.019832153,0.007965325,0.008266443,0.008292703,0.008341548,0.008276604,0.008271176,0.00830323,0.0052012545,0.008140557,0.008101387,0.008181884,0.008204624,0.008313888,0.008340955,0.00727073,0.20888293,0.0082507515,0.008237365,0.008222682,0.012827616,0.008374354,0.012834583,0.008296117,0.008320333,0.007073406,0.20914988
F,0.020307062,0.008002936,0.00825392,0.008280008,0.008330038,0.008265539,0.008259918,0.008291692,0.0051528034,0.008178482,0.008052336,0.008132657,0.008155039,0.008300059,0.008327432,0.0073553612,0.20926057,0.0082369065,0.008224343,0.008210184,0.012665315,0.00836185,0.012671708,0.0082835825,0.0083086565,0.007155734,0.2095126
