,N,C,c,c,c,c,c,c,O,C,F,F,F,c,c,n+,O-,c,c,c,Cl,c,Cl,c,c,n+,O-
N,0.029555192,0.0056136064,0.0072378227,0.007060779,0.007080062,0.0071399603,0.00717498,0.0072203903,0.0065694936,0.0055129454,0.005253071,0.0052977614,0.0053025824,0.007219285,0.007216751,0.016600551,0.15264888,0.0071075065,0.007034327,0.007015364,0.024827423,0.0069680177,0.024423324,0.0070553254,0.007034306,0.016325304,0.15177456
C,0.047078118,0.001087121,0.004996315,0.0049115038,0.0049843653,0.004931221,0.004885319,0.004876011,0.006133601,0.001042281,0.002751345,0.002801193,0.0028144473,0.004887326,0.004876262,0.010336298,0.1805141,0.0051267045,0.0051634163,0.005148744,0.07027748,0.0050244937,0.070336886,0.005088428,0.005082466,0.010332213,0.17710541
c,0.018820895,0.0012639969,0.0048770974,0.0047972216,0.004888031,0.004866473,0.004826062,0.0048122173,0.005563132,0.0012439848,0.0029868798,0.00302878,0.0030554747,0.004934594,0.0049038413,0.006561054,0.20149478,0.0050624977,0.00508252,0.0050891475,0.074799605,0.0050312495,0.07373209,0.0049947337,0.0049843616,0.0065640737,0.20026816
c,0.018467087,0.0012321009,0.0049316236,0.00484885,0.004940353,0.0049189683,0.0048783557,0.0048648026,0.0054966533,0.0012122049,0.0029688394,0.0030110395,0.0030373982,0.004988513,0.0049568764,0.0064893425,0.20274574,0.0051179132,0.0051370417,0.0051432317,0.074565366,0.0050835344,0.07348107,0.005046397,0.0050354223,0.0064899083,0.20157716
c,0.01894724,0.0012421007,0.004930123,0.00484853,0.004939646,0.0049174386,0.0048766183,0.004862912,0.0055289045,0.0012213853,0.002976551,0.0030190703,0.0030455783,0.00498598,0.004954508,0.006507042,0.20145783,0.005117,0.005137154,0.005144007,0.07467171,0.0050840466,0.0735989,0.0050471746,0.0050363075,0.0065083997,0.20030794
c,0.018659085,0.001243685,0.0049144803,0.0048341462,0.004924557,0.004900725,0.004859182,0.0048450553,0.005547495,0.0012233735,0.0029481014,0.0029896763,0.0030160747,0.0049680164,0.0049366853,0.0064918627,0.20137724,0.005100721,0.005122156,0.0051291515,0.074669585,0.0050683096,0.07362974,0.005033059,0.0050219977,0.0064936597,0.20019537
c,0.018431319,0.0012401391,0.004911159,0.0048306184,0.0049207234,0.0048963297,0.0048544356,0.004840119,0.005515499,0.0012200868,0.0029175573,0.0029584316,0.0029845308,0.00496278,0.0049314797,0.006494439,0.20193514,0.005096495,0.0051182257,0.0051249256,0.0746247,0.0050635934,0.073596075,0.005029287,0.0050180247,0.0064956965,0.20074853
c,0.018319326,0.0012400211,0.0049091703,0.0048281513,0.0049180198,0.004893577,0.0048515713,0.004837152,0.0054733558,0.0012199933,0.0028946192,0.0029350345,0.0029608845,0.004959475,0.0049282555,0.006514189,0.20236953,0.005093421,0.0051150373,0.0051213917,0.074604,0.005060179,0.07357835,0.0050265603,0.0050152424,0.006514867,0.20119047
O,0.010158267,0.0041096257,0.007907147,0.007801252,0.007882294,0.008021219,0.008056016,0.008066154,0.0051860567,0.0040870775,0.00562138,0.0056955563,0.005721242,0.008214863,0.008175184,0.005863465,0.17039083,0.008086842,0.008011776,0.008075958,0.06731247,0.008105478,0.0664782,0.008131993,0.008114436,0.005835631,0.16933587
C,0.046555575,0.0010539102,0.0050370735,0.004949101,0.0050217593,0.0049662446,0.0049185157,0.004908399,0.0060058534,0.0010089721,0.0026670184,0.0027155946,0.002728707,0.004919839,0.0049078367,0.010284019,0.18083428,0.0051652207,0.005202997,0.0051879906,0.070079595,0.005060094,0.07010427,0.0051278486,0.0051209996,0.010275601,0.1774713
F,0.031456564,0.011950885,0.0038452495,0.0037631777,0.0037906058,0.0038792049,0.0039001112,0.0038974376,0.002655706,0.011797322,0.0061136107,0.0062206187,0.006229951,0.0039382624,0.00394798,0.006770547,0.1919719,0.0038265833,0.003793965,0.0037858628,0.0067535355,0.0038605933,0.0068008043,0.0038936485,0.0038854072,0.0067260433,0.19336152
F,0.03138419,0.011942123,0.003840816,0.0037593837,0.0037882447,0.0038761345,0.003896669,0.0038938099,0.0026518402,0.011788051,0.006102861,0.006209021,0.0062172133,0.0039334726,0.0039434796,0.0068047484,0.19326265,0.0038228952,0.0037908093,0.0037826265,0.0067843236,0.0038553725,0.006831103,0.003888217,0.0038801995,0.0067602475,0.1946349
F,0.03153437,0.011954046,0.0038446817,0.0037631404,0.003792488,0.0038801434,0.0039003668,0.0038972504,0.0026622198,0.011800077,0.0061333305,0.0062401462,0.0062477654,0.0039366954,0.0039466866,0.0068419846,0.19321038,0.0038267802,0.0037950447,0.0037869425,0.006796936,0.0038591973,0.0068433764,0.0038919933,0.003883954,0.0067970753,0.19458492
c,0.0191822,0.0012649548,0.0049105673,0.0048296507,0.0049215523,0.004898899,0.004857572,0.0048433887,0.0053644814,0.0012435208,0.002958502,0.0030011781,0.0030274573,0.004964121,0.004932764,0.0065122675,0.20033373,0.0050962768,0.005117172,0.005123652,0.07458533,0.005064064,0.073537804,0.0050312593,0.005020824,0.00651885,0.19918388
