,N,C,c,c,c,c,c,c,O,C,F,F,F,c,c,n+,O-,c,c,c,Cl,c,Cl,c,c,n+,O-
N,0.018372292,0.008549837,0.011904842,0.011701196,0.011810427,0.011975117,0.012000627,0.011980934,0.009936943,0.008582806,0.040200397,0.03991937,0.03981542,0.012037977,0.012125959,0.03282416,0.065632544,0.011950025,0.011911935,0.011883803,0.0089978855,0.012110051,0.00899198,0.011744673,0.0117011545,0.031861067,0.066883616
C,0.015106247,0.009118465,0.005653108,0.0056732926,0.00562885,0.0055912086,0.005604186,0.0056397417,0.008437038,0.009245934,0.042516492,0.042122267,0.04201273,0.0056803734,0.005683936,0.07814058,0.10894579,0.0056778835,0.0056668166,0.005647049,0.03266457,0.005649724,0.031855322,0.0056206253,0.0056346683,0.07675015,0.105682485
c,0.010587304,0.008631224,0.009267012,0.009342925,0.009384792,0.009199814,0.009179365,0.009246647,0.017983027,0.008859969,0.036380924,0.036351513,0.0363077,0.009357987,0.009332035,0.010349678,0.08040392,0.009575149,0.009384781,0.00934409,0.016716504,0.009421163,0.016556703,0.009576508,0.009631043,0.010207536,0.079102054
c,0.010692227,0.00870994,0.009293099,0.00936928,0.009414466,0.009230236,0.009209232,0.009275887,0.017910937,0.008941254,0.036160614,0.036131673,0.036089394,0.009388065,0.0093620485,0.010149486,0.08035006,0.009604037,0.009414971,0.009375171,0.016449159,0.009453561,0.016292734,0.009606128,0.0096601015,0.010006061,0.079096146
c,0.010706749,0.008700676,0.009271684,0.00934775,0.009392051,0.009208849,0.00918814,0.009254426,0.01789148,0.008931374,0.036679834,0.036651388,0.03661332,0.009365583,0.009339599,0.010184448,0.080616765,0.009580439,0.009391141,0.009351574,0.016658777,0.009431986,0.016498579,0.009584048,0.009638915,0.010042658,0.07937095
c,0.010622259,0.008691042,0.009262047,0.00933824,0.009380656,0.009197162,0.00917666,0.009243242,0.017646259,0.008918834,0.03646005,0.036428098,0.036386546,0.009355566,0.009329549,0.010410309,0.0807477,0.009567669,0.009378644,0.009339067,0.016791297,0.009417706,0.016627053,0.009569498,0.009623976,0.01026543,0.07950057
c,0.010598014,0.008692319,0.0092803985,0.0093570165,0.009399544,0.009215519,0.009194853,0.009261534,0.01758721,0.00891938,0.036440603,0.036409456,0.036365386,0.009374468,0.009348353,0.010444762,0.08070531,0.009585736,0.009397041,0.009357567,0.01671173,0.009435169,0.016547741,0.009587336,0.009641347,0.010297776,0.079470284
c,0.01058926,0.008676924,0.009307186,0.009384204,0.0094270725,0.009242419,0.009221583,0.00928836,0.017624263,0.008903611,0.0365811,0.036553215,0.036507785,0.009401355,0.0093751475,0.010437146,0.08064195,0.009612735,0.009423972,0.009384478,0.016578602,0.009461726,0.016416667,0.009614923,0.009668671,0.010288642,0.07942343
O,0.11465876,0.010992086,0.006800059,0.00677826,0.0068255966,0.006788726,0.0067757517,0.006799847,0.01581477,0.0113329515,0.013606298,0.013675137,0.013650397,0.0068852818,0.0068494333,0.008515755,0.1341023,0.007012442,0.007000791,0.00701016,0.02033362,0.0069675087,0.020045191,0.0069740796,0.0070020147,0.008462862,0.1372389
C,0.014506505,0.009001939,0.0057162833,0.005737246,0.005692256,0.0056538964,0.0056666676,0.005702152,0.008310261,0.009127292,0.043097965,0.04270504,0.042593345,0.005745505,0.005749253,0.078178436,0.10900048,0.005741492,0.0057287533,0.0057088872,0.031967692,0.005712892,0.031177912,0.00568439,0.0056984047,0.076696075,0.10580742
