,N,C,c,c,c,c,c,c,O,C,F,F,F,c,c,n+,O-,c,c,c,Cl,c,Cl,c,c,n+,O-
N,0.119950056,0.017643435,0.016599001,0.016414711,0.016507998,0.016570967,0.016516807,0.01644646,0.012370453,0.01751247,0.011991627,0.011996408,0.0118891345,0.016123744,0.016182728,0.060688235,0.018088404,0.01609507,0.016346855,0.016388385,0.014606099,0.016284978,0.01457975,0.016278885,0.016251951,0.0600455,0.018492058
C,0.1109162,0.008264439,0.0059311423,0.005925152,0.005886383,0.0058234977,0.005827813,0.005859334,0.045220204,0.00830749,0.018681746,0.01890275,0.018832643,0.0058427243,0.005830966,0.04762783,0.054513,0.005855007,0.005920876,0.005948114,0.05309078,0.005874559,0.05231835,0.0058840686,0.005873427,0.046670202,0.05395562
c,0.013096544,0.01754402,0.012017308,0.012085753,0.012042166,0.012038652,0.012075201,0.0121060135,0.060461953,0.017627042,0.03462916,0.03513706,0.03524603,0.012009518,0.01199574,0.015240531,0.021349818,0.012053352,0.012059367,0.012072247,0.01854647,0.012140842,0.018715143,0.012119801,0.012036392,0.015013258,0.021452868
c,0.013296009,0.017706268,0.012112356,0.012179795,0.012135794,0.012132719,0.012169962,0.012201514,0.060310647,0.01778766,0.034654874,0.03515293,0.035270657,0.012099356,0.01208466,0.0149237,0.021019753,0.012145799,0.012152575,0.012165634,0.0183895,0.012232924,0.018557869,0.012212218,0.012128599,0.014713801,0.021122295
c,0.013183342,0.017780943,0.012039644,0.012108235,0.012065778,0.012064441,0.0121016065,0.012132386,0.061797045,0.017863974,0.035188016,0.035696972,0.035806157,0.012033235,0.012018449,0.014931902,0.021128781,0.012076182,0.012084061,0.012097651,0.018455729,0.012168324,0.018620232,0.01214479,0.012062108,0.014728873,0.021235317
c,0.013073195,0.017457185,0.011946143,0.012014767,0.0119710425,0.011970837,0.012007563,0.012037195,0.0624466,0.017534448,0.03537582,0.035897795,0.035995655,0.011947268,0.011931597,0.015390796,0.021909507,0.011981729,0.011988912,0.012003117,0.018654421,0.012073273,0.018816099,0.012048918,0.011966173,0.015161475,0.02201827
c,0.013072787,0.017352127,0.011946563,0.012014994,0.011969972,0.011969741,0.012006589,0.012036321,0.06221437,0.017427597,0.03540538,0.035929747,0.03602398,0.01194821,0.011932284,0.015478088,0.021980178,0.01197927,0.0119859,0.012000344,0.01870921,0.0120701445,0.018871497,0.012046112,0.011962889,0.015240514,0.022089118
c,0.0130681675,0.017366642,0.011986505,0.012055001,0.012008975,0.012008323,0.012045521,0.012075778,0.0617754,0.017442707,0.035395157,0.035919763,0.036012784,0.011986659,0.011970921,0.015424032,0.021773836,0.012016304,0.012022062,0.012036381,0.01866155,0.012107069,0.01882453,0.012083556,0.011999832,0.015186475,0.02188246
O,0.022274185,0.010948018,0.008588434,0.008688781,0.008702621,0.00857299,0.008544312,0.008567412,0.05467333,0.011051634,0.040428493,0.040625274,0.040452737,0.008759219,0.008724645,0.015647573,0.026497144,0.008865114,0.008905739,0.008901922,0.042020924,0.00874542,0.040848263,0.008893378,0.008959551,0.0156246135,0.026701033
C,0.11081717,0.008420867,0.00605515,0.0060476447,0.0060079265,0.005945092,0.005948972,0.0059798285,0.04587218,0.00845715,0.018901024,0.01912229,0.019053059,0.005965161,0.005953083,0.047448456,0.05359649,0.0059740716,0.0060406635,0.0060694106,0.05201202,0.0059959274,0.05122986,0.00600609,0.0059959306,0.046506226,0.053023502
F,0.0076878807,0.004614824,0.014473795,0.014527546,0.01423832,0.014255435,0.014357523,0.014449078,0.00996604,0.004581081,0.023254996,0.023294423,0.023381881,0.014254469,0.0143374335,0.01790977,0.071359344,0.014036803,0.014056004,0.014078858,0.07764642,0.013939082,0.076672405,0.014003448,0.014038287,0.017357603,0.06899309
F,0.007701071,0.0046153907,0.01452052,0.014575874,0.014286118,0.014301981,0.014403748,0.014495461,0.010201691,0.0045830775,0.02333657,0.02337856,0.023464046,0.01430361,0.014383743,0.017734779,0.07169443,0.014084652,0.014103312,0.014126659,0.077405035,0.013986528,0.07641993,0.014052823,0.014084296,0.017193627,0.06933976
F,0.007859115,0.0046094274,0.014497263,0.014552569,0.0142622795,0.014276385,0.014377896,0.0144700445,0.010196895,0.0045779655,0.023349848,0.023389515,0.023472555,0.014283872,0.014361972,0.017610008,0.07202156,0.014060365,0.014077475,0.014100969,0.07758119,0.013966963,0.07658471,0.014027115,0.014057428,0.017078767,0.06966049
c,0.013122268,0.017764082,0.012115204,0.012186958,0.012137807,0.012136675,0.0121758925,0.012208023,0.062145114,0.017840616,0.035779115,0.036321122,0.036422115,0.012103626,0.012090886,0.015397319,0.022010405,0.012140219,0.012146489,0.012159305,0.018247813,0.012236718,0.018411517,0.0122177275,0.012129018,0.015155783,0.022113988
c,0.01312926,0.017756877,0.012065368,0.012136365,0.012086187,0.012085892,0.012125529,0.012158099,0.06214814,0.017834172,0.035705175,0.03624194,0.03634345,0.012054068,0.012041379,0.015461203,0.021789659,0.012092657,0.01209876,0.012111103,0.018315539,0.012186596,0.018483518,0.012170201,0.012081314,0.015216071,0.021891294
n+,0.11380906,0.004359639,0.006602192,0.0066195,0.006600718,0.006573655,0.006586354,0.006607291,0.012457992,0.0044360384,0.049864218,0.05021931,0.049756605,0.006595614,0.006622882,0.04841944,0.050721593,0.0065172627,0.006588823,0.006615011,0.097567834,0.0065559177,0.09519358,0.0064437916,0.006457016,0.04724592,0.051033847
O-,0.049651496,0.08788404,0.017139234,0.017109327,0.017369691,0.017599853,0.01765822,0.017667785,0.028856497,0.08997341,0.008847438,0.008900079,0.008888546,0.017558606,0.017533267,0.011869729,0.06601445,0.017539797,0.017500544,0.017510043,0.009224895,0.017612282,0.009208137,0.01759009,0.017547047,0.011922815,0.065827936
c,0.012829846,0.018022807,0.012202805,0.012272032,0.01222867,0.012232148,0.012271536,0.012302883,0.06263537,0.01811005,0.035631735,0.03616624,0.03624441,0.0122005185,0.01218436,0.015542285,0.021455333,0.012239361,0.012243023,0.01225602,0.01821367,0.012329528,0.018375652,0.01231453,0.0122261485,0.015327138,0.021571375
c,0.012839433,0.01834139,0.012191843,0.012256818,0.01221709,0.012220981,0.012259235,0.0122897485,0.062360525,0.018427081,0.0354011,0.035927013,0.036016975,0.012191993,0.012175415,0.015004551,0.021219593,0.01223378,0.012234115,0.012245879,0.018124156,0.012318274,0.018284135,0.012304591,0.012219513,0.01480381,0.021334847
c,0.012809635,0.018480582,0.0121719055,0.012234538,0.012194838,0.01219889,0.012237027,0.012267626,0.062182996,0.018566214,0.035013128,0.035531998,0.03562605,0.01217131,0.012155518,0.014949936,0.021543909,0.012215041,0.012214851,0.012226047,0.01805653,0.012297698,0.01821548,0.01228428,0.012200398,0.014743326,0.021659393
