Molecule ChEMBL ID,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units
CHEMBL2281712,O=C(NNC(=O)c1cccc([N+](=O)[O-])c1)c1ccc(-n2cccc2)cc1,MIC,'=',8,ug.mL-1
CHEMBL2281725,Cc1ccc(C)n1-c1ccc(C(=O)N/N=C/c2cccc([N+](=O)[O-])c2)cc1,MIC,'=',62.5,ug.mL-1
CHEMBL177,NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O,Activity,,,
CHEMBL32,COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,MIC,'=',1,ug.mL-1
CHEMBL1384,NC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H](N)C[C@@H]2N)[C@H](O)[C@@H](O)[C@@H]1O,MIC,'=',2,ug.mL-1
CHEMBL771,N[C@@H]1CONC1=O,MIC,'=',16,ug.mL-1
CHEMBL771,N[C@@H]1CONC1=O,MIC,'=',16,ug.mL-1
CHEMBL4,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,MIC,'=',8,ug.mL-1
CHEMBL771,N[C@@H]1CONC1=O,MIC,'=',16,ug.mL-1
CHEMBL372795,CN[C@@H]1[C@H](O[C@H]2[C@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](N=C(N)N)[C@@H](O)[C@@H]3N=C(N)N)O[C@@H](C)[C@]2(O)C=O)O[C@@H](CO)[C@H](O)[C@H]1O,MIC,'>',16,ug.mL-1
CHEMBL850,C[C@@H]1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C[C@H](C)N1,MIC,'>',16,ug.mL-1
CHEMBL228853,O=c1cc(O)c2cccc(C(F)(F)F)c2[nH]1,Inhibition,'=',69,%
CHEMBL375266,CC(C)O[C@@H]1C=C([C@H](O)c2ccc(C#N)cc2)C(=O)[C@@H](COC(=O)c2ccc([N+](=O)[O-])cc2)O1,MIC,'=',25,ug.mL-1
CHEMBL226753,CCCCCCCCC[C@@H](O)C1=C[C@@H](OC(C)C)O[C@H](COC(=O)C(C)(C)C)C1=O,MIC,'=',6.25,ug.mL-1
CHEMBL227016,CC(C)O[C@@H]1C=C([C@H](O)c2ccc(C(F)(F)F)cc2)C(=O)[C@@H](COC(=O)C(C)(C)C)O1,MIC,'=',50,ug.mL-1
CHEMBL227332,CC(C)O[C@@H]1C=C([C@H](O)c2ccc(F)cc2)C(=O)[C@@H](COC(=O)C(C)(C)C)O1,Activity,,,
CHEMBL374478,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,Activity,,,
CHEMBL4,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,Activity,,,
CHEMBL374478,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,Activity,,,
CHEMBL5315124,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23.C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23.O,Activity,,,
CHEMBL64,NNC(=O)c1ccncc1,Activity,,,
CHEMBL226126,O=C(N/N=C\N1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1)c1ccncc1,MIC,'=',3.13,ug.mL-1
CHEMBL226069,O=C(N/N=C/NCc1ccccn1)c1ccncc1,MIC,'=',16000,nM
CHEMBL4,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,Activity,,,
CHEMBL850,,,,,
CHEMBL126,CC(=O)NC[C@H]1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1,MIC,'=',4,ug.mL-1
CHEMBL1669320,,,,,
CHEMBL394510,CCCCCCCC/C=C\CCCCCCCC(=O)OC(COC(=O)CCCCCCCCC)CO[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,MIC,'>',128,ug.mL-1
CHEMBL396137,CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)OC(COC(=O)CCCCCCCCC)CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,MIC,'>',128,ug.mL-1
CHEMBL232999,CCCCC/C=C\C/C=C\CCCCCCCC(=O)OC(COC(=O)CCCCCCCCC)CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,MIC,'>',128,ug.mL-1
CHEMBL439567,CCCCC/C=C\C/C=C\CCCCCCCC(=O)OCC(CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)OC(=O)CCCCCCC/C=C\C/C=C\CCCCC,MIC,'=',128,ug.mL-1
CHEMBL2282065,O=C1C(Cl)C(c2cc3ccccc3nc2S)N1c1ccc(F)cc1,MIC,'=',62.5,ug.mL-1
CHEMBL234711,CCCCO[C@@H]1O[C@H](CO[C@H]2O[C@H](CO[C@H]3O[C@H](COC(C)=O)[C@H](OC(C)=O)[C@H](OC(C)=O)[C@H]3OC(C)=O)[C@H](OC(C)=O)[C@H](OC(C)=O)[C@H]2OC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]1OC(C)=O,MIC,'>',800,ug.mL-1
CHEMBL2283120,CC(C)c1csc(-c2nnc(Sc3nnc(-c4ccc(Cl)cc4)o3)n2-c2ccccc2)n1,MIC,'=',4,ug.mL-1
CHEMBL2283119,CC(C)c1csc(-c2nnc(Sc3nnc(CCl)o3)n2-c2ccccc2)n1,MIC,'=',16,ug.mL-1
CHEMBL2283117,C/C(=N\NC(=O)CSc1nnc(-c2nc(C(C)C)cs2)n1-c1ccccc1)c1ccc(Cl)cc1,MIC,'=',31.25,ug.mL-1
CHEMBL2283116,C/C(=N\NC(=O)CSc1nnc(-c2nc(C(C)C)cs2)n1-c1ccccc1)c1ccc(Br)cc1,MIC,'=',31.25,ug.mL-1
CHEMBL2283113,COc1ccc(/C(C)=N/NC(=O)CSc2nnc(-c3nc(C(C)C)cs3)n2-c2ccccc2)cc1,MIC,'=',8,ug.mL-1
CHEMBL31,COc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,MIC,'=',1040,nM
CHEMBL233284,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/[n+]1ccn(C)c1.[Br-],Inhibition,'=',58,%
CHEMBL393674,Cn1c[n+](Cc2ccccc2)c2ccccc21.[Br-],Inhibition,'=',19,%
CHEMBL241001,CC(C)(C)n1cc(C(=O)O)c(=O)c2cc([N+](=O)[O-])c(N3CCSCC3)nc21,MIC,'=',480,nM
CHEMBL238455,CC1(C)COCN1c1nc2c(cc1[N+](=O)[O-])c(=O)c(C(=O)O)cn2C(C)(C)C,MIC,'=',100,nM
CHEMBL391021,COc1ccc(CC2C3=C(CCCC3)CCN2c2nc3c(cc2[N+](=O)[O-])c(=O)c(C(=O)O)cn3C(C)(C)C)cc1,MIC,'=',5730,nM
CHEMBL137,,,,,
CHEMBL137,,,,,
CHEMBL437560,N#CCSc1nnc(Cc2csc(NC(=O)c3ccccc3)n2)n1NC(=O)c1ccc(Cl)cc1,MIC,'=',3130,nM
CHEMBL398390,O=C(O)CCNc1nc(Cc2nnc(S)n2NC(=O)c2ccc(Cl)cc2)cs1,MIC,'=',6250,nM
CHEMBL15193,CC(C)=CCC1=C(O)C(=O)c2ccccc2C1=O,MIC,'=',161400,nM
CHEMBL233518,O=C(CCl)Nc1nc(Cc2nnc(S)n2NC(=O)c2ccc(Cl)cc2)cs1,MIC,'=',6250,nM
CHEMBL394126,NNC(=O)CSc1nnc(Cc2csc(NC(=O)CCl)n2)n1NC(=O)c1cccc([N+](=O)[O-])c1,MIC,'=',6250,nM
CHEMBL231859,Nn1c(S)nnc1CSc1nnc(Cc2csc(NC(=O)c3ccccc3)n2)n1NC(=O)c1ccc(Cl)cc1,MIC,'<',6.25,ug.mL-1
CHEMBL392020,CC(=O)Nc1nc(Cc2nnc(SCC(=O)NNC(=O)c3ccccc3)n2NC(=O)c2cccc([N+](=O)[O-])c2)cs1,MIC,'<',6.25,ug.mL-1
CHEMBL231867,O=C(O)CCNc1nc(Cc2nnc(SCC(=O)NNC(=O)c3ccccc3)n2NC(=O)c2ccc(Cl)cc2)cs1,MIC,'<',6.25,ug.mL-1
CHEMBL234557,CC(=O)NNC(=O)CSc1nnc(Cc2csc(NCCC(=O)O)n2)n1NC(=O)c1ccc(Cl)cc1,MIC,'<',6.25,ug.mL-1
CHEMBL440972,COC(=O)CSc1nnc(Cc2csc(NC(=O)c3ccccc3)n2)n1NC(=O)c1cccc([N+](=O)[O-])c1,MIC,'<',6.25,ug.mL-1
CHEMBL233489,NNC(=O)CSc1nnc(Cc2csc(NC(=O)CCl)n2)n1NC(=O)c1ccc(Cl)cc1,GI,'=',96,%
CHEMBL234134,NNC(=O)CSc1nnc(Cc2csc(NC(=O)c3ccccc3)n2)n1NC(=O)c1cccc([N+](=O)[O-])c1,GI,'=',100,%
CHEMBL398774,NNC(=O)CSc1nnc(Cc2csc(NC(=O)c3ccccc3)n2)n1NC(=O)c1ccc(Cl)cc1,GI,'=',96,%
CHEMBL413138,O=C(CSc1nnc(Cc2csc(NC(=O)c3ccccc3)n2)n1NC(=O)c1cccc([N+](=O)[O-])c1)N/N=C/c1ccccc1,GI,'=',96,%
CHEMBL64,NNC(=O)c1ccncc1,Activity,,,
CHEMBL64,NNC(=O)c1ccncc1,MIC90,'=',0.2,ug.mL-1
CHEMBL227875,O=[N+]([O-])c1cn2c(n1)OC[C@@H](OCc1ccc(OC(F)(F)F)cc1)C2,MIC90,'=',250,nM
CHEMBL64,NNC(=O)c1ccncc1,MIC90,'=',740,nM
CHEMBL2237044,CN(C)c1ccc(/C=N/c2ccc(/N=C3\C(=O)N(Cc4ccccc4)c4ccccc43)cc2)cc1,MIC90,,,
CHEMBL2237043,COc1cc(/C=N/c2ccc(/N=C3\C(=O)N(Cc4ccccc4)c4ccccc43)cc2)ccc1O,MIC90,,,
CHEMBL1631128,COc1ccc([C@H]2[C@@H]3CSCN3[C@@]3(C(=O)Nc4ccc([N+](=O)[O-])cc43)[C@@]23Cc2ccccc2C3=O)cc1,MIC,'=',24.3,ug.mL-1
CHEMBL1631142,Oc1ccc(C2O[C@@H](c3cc(C(F)(F)F)nc4c(C(F)(F)F)cccc34)[C@H]3CCCCN23)cc1,MIC,'=',25900,nM
CHEMBL519186,NC(=O)CCCCCc1ccc(Cn2cc(Br)c(=O)[nH]c2=O)cc1,Activity,,,
CHEMBL1630281,O=[N+]([O-])c1ccccc1C1O[C@@H](c2cc(C(F)(F)F)nc3c(C(F)(F)F)cccc23)[C@H]2CCCCN12,MIC,'>',250000,nM
CHEMBL484515,NC(=O)CCCCCc1ccc(Cn2cc(Cl)c(=O)[nH]c2=O)cc1,MIC50,'=',288,ug.mL-1
CHEMBL484722,CCCCc1ccc(Cn2cc(Br)c(=O)[nH]c2=O)cc1,Activity,,,
CHEMBL1817982,CCOC(=O)C1=C(C)N(c2ccc(C)cc2)C(C)=C(C(=O)OCC)C1c1cn(-c2ccccc2)nc1-c1ccccc1,MIC,'=',48,ug.mL-1
CHEMBL64,NNC(=O)c1ccncc1,MIC,'=',0.03,ug.mL-1
CHEMBL8,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,MIC,'=',3.13,ug.mL-1
CHEMBL1817955,C/C(=N/Nc1nc(-c2cc3ccccc3oc2=O)cs1)c1cc2ccc(O)cc2oc1=O,MIC,'=',17000,nM
CHEMBL1817963,O=c1oc2ccccc2cc1-c1csc(N/N=C\c2c(O)ccc3ccccc23)n1,MIC,'=',75000,nM
CHEMBL1818198,COc1ccc2nc(Oc3ccccc3)c(C3C(CC#N)=C(N)Oc4c3c(=O)oc3ccccc43)cc2c1,Inhibition,'=',11,%
CHEMBL2235895,COc1ccc(N2CCN(c3nc(Nc4ccc(C#N)c(C(F)(F)F)c4)nc(Oc4ncnc5ccccc45)n3)CC2)cc1,MIC,'=',25,ug.mL-1
CHEMBL3323549,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(C=O)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,MIC,'>',1,ug.mL-1
CHEMBL3323552,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(CNCCCN5CCCC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,MIC,'=',0.5,ug.mL-1
CHEMBL3323553,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(CNCCCn5ccnc5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,MIC,'=',1,ug.mL-1
CHEMBL3323556,CCCc1cn(CCNCc2c3c(O)c4c(O)c(C)c5c(c4c2O)C(=O)[C@@](C)(O/C=C/[C@H](OC)[C@@H](C)[C@@H](OC(C)=O)[C@H](C)[C@H](O)[C@H](C)[C@@H](O)[C@@H](C)/C=C/C=C(/C)C(=O)N3)O5)nn1,MIC,'=',1,ug.mL-1
CHEMBL561603,c1ccc(CNCCn2ccnc2)cc1,MIC,'=',12.5,ug.mL-1
CHEMBL551282,Cc1ccc([C@H]2[C@@H]3CCCN3[C@@]3(C(=O)Nc4ccccc43)[C@@]23CN(C)CCC3=O)cc1,MIC,'=',7530,nM
CHEMBL564994,CN1CCC(=O)[C@]2(C1)[C@@H](c1cccc(F)c1)[C@@H]1CCCN1[C@@]21C(=O)Nc2ccccc21,MIC,,,
CHEMBL556448,Cc1ccc([C@H]2CN(C)[C@@]3(C(=O)Nc4ccccc43)[C@@]23CN(C)CCC3=O)cc1,MIC,'=',16050,nM
CHEMBL2263508,COC1=C(OC)C(O)(CCn2ccnc2)N(Cc2ccccc2)C1=O,MIC,'>',12.5,ug.mL-1
CHEMBL25308,,,,,
CHEMBL3330305,O=C(Nc1ccc(F)cc1)NC1CCN(CCn2c(=O)ccc3ncc(F)cc32)CC1,MIC,'=',3640,nM
CHEMBL3330307,CC(=O)c1ccc(NC(=O)NC2CCN(CCn3c(=O)ccc4ncc(F)cc43)CC2)cc1,MIC,'=',2910,nM
CHEMBL3330308,COc1ccc(NC(=O)NC2CCN(CCn3c(=O)ccc4ncc(F)cc43)CC2)cc1,MIC,'=',3230,nM
CHEMBL3330319,COc1cnc2ccc(=O)n(CCN3CCC(NC(=O)Nc4ccc(F)cc4)CC3)c2c1,MIC,'=',620,nM
CHEMBL1651197,CCCOC(=O)Nc1cc2nc(C3CCCCC3)[nH]c2cc1N(CC)CC,MIC99,'=',4.3,uM
CHEMBL1651199,C=CCCOC(=O)Nc1cc2nc(C3CCCCC3)[nH]c2cc1N(CC)CC,MIC99,'=',4.2,uM
CHEMBL1651205,O=C(Nc1cc2nc(C3CCCCC3)[nH]c2cc1N1CCCC1)OCc1ccccc1,MIC99,'=',3.7,uM
CHEMBL1629839,COc1cc(COc2ccc(C(O)C3CC3)cc2)ccc1OCCN(C(C)C)C(C)C,MIC,'>',12.5,ug.mL-1
CHEMBL1629835,COc1cc(COc2ccc(C(=O)C3CC3)cc2)ccc1OCCN1CCCCC1,MIC,'>',12.5,ug.mL-1
CHEMBL1629831,CN(C)CCOc1ccc(COc2ccc(C(O)C3CC3)cc2)cc1,MIC,'=',3.12,ug.mL-1
CHEMBL1629819,OC(c1ccc(OCc2cccc(Br)c2)cc1)C1CC1,MIC,'=',12.5,ug.mL-1
CHEMBL1629818,OC(c1ccc(OCc2ccc(Oc3cccnc3)cc2)cc1)C1CC1,Activity,'=',67,%
CHEMBL1629821,OC(c1ccc(OCc2ccc(Br)cc2)cc1)C1CC1,MST,'=',23.37,
CHEMBL577085,CC(=O)N1N=C(c2nc(C(C)C)cs2)OC1c1ccccc1,MIC,'=',31.25,ug.mL-1
CHEMBL585348,O=[N+]([O-])c1cn2c(n1)OC[C@@H](OCc1ccc(-c3ccc(-c4ccccc4)cc3)cc1)C2,MIC,'=',90,nM
CHEMBL31,COc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,MIC50,'=',14.73,ug.mL-1
CHEMBL2234175,COc1ccccc1C1CC(c2cc3cc(O)ccc3o2)=NN1C(=O)Cn1c2ccccc2c2nc3ccccc3nc21,MIC50,'=',10.67,ug.mL-1
CHEMBL374478,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,MIC50,'=',0.5,ug.mL-1
CHEMBL2234197,COc1ccccc1Nc1nc(NNC(=O)c2ccncc2)nc(Nc2ccccn2)n1,GI,'=',81,%
CHEMBL567680,N#Cc1ccc(-c2cc(CO[C@@H]3COc4nc([N+](=O)[O-])cn4C3)on2)cc1,MIC,'=',1400,nM
CHEMBL565805,O=[N+]([O-])c1cn2c(n1)OC[C@@H](OCc1cn(-c3ccc(F)cc3)nn1)C2,MIC,'=',1200,nM
CHEMBL566626,O=[N+]([O-])c1cn2c(n1)OC[C@@H](OCc1cn(-c3ccc(OC(F)(F)F)cc3)nn1)C2,MIC,'=',75,nM
CHEMBL568332,O=[N+]([O-])c1cn2c(n1)OC[C@@H](OCc1ccn(-c3ccc(C(F)(F)F)cc3)n1)C2,MIC,'=',1000,nM
CHEMBL566626,O=[N+]([O-])c1cn2c(n1)OC[C@@H](OCc1cn(-c3ccc(OC(F)(F)F)cc3)nn1)C2,MIC,'=',3300,nM
CHEMBL1629834,COc1cc(COc2ccc(C(=O)C3CC3)cc2)ccc1OCCN1CCOCC1,MIC,'=',6.25,ug.mL-1
CHEMBL1629828,CC(C)N(CCOc1ccc(COc2ccc(C(=O)C3CC3)cc2)cc1)C(C)C,MIC,'=',12.5,ug.mL-1
CHEMBL1629814,O=C(c1ccc(OCc2ccc(Br)cc2)cc1)C1CC1,MIC,'=',6.25,ug.mL-1
CHEMBL1629830,OC(c1ccc(OCc2ccc(OCCN3CCCCC3)cc2)cc1)C1CC1,MIC,'=',12.5,ug.mL-1
CHEMBL44884,CC[C@@H](CO)NCCN[C@@H](CC)CO,Ratio,'=',2,
CHEMBL44884,CC[C@@H](CO)NCCN[C@@H](CC)CO,MIC,'=',7640,nM
CHEMBL573211,Cc1ccc(C(OC[C@@H](O)CN2CCCN(C[C@H](O)COC(c3ccc(C)cc3)c3ccc(C)cc3)CC2)c2ccc(C)cc2)cc1,MIC,'=',0.78,ug.mL-1
CHEMBL572757,O[C@@H](CNCCNC[C@H](O)COC(c1ccc(Br)cc1)c1ccc(Br)cc1)COC(c1ccc(Br)cc1)c1ccc(Br)cc1,MBC,'=',25,ug ml-1
CHEMBL572702,Cc1ccc(C(OC[C@H](O)CNCCNC[C@@H](O)COC(c2ccc(C)cc2)c2ccc(C)cc2)c2ccc(C)cc2)cc1,MIC,'=',3.13,ug.mL-1
CHEMBL44884,CC[C@@H](CO)NCCN[C@@H](CC)CO,MIC,'=',3.13,ug.mL-1
CHEMBL44884,CC[C@@H](CO)NCCN[C@@H](CC)CO,MIC,'>',12.5,ug.mL-1
CHEMBL2236087,CCOC(=O)N1CCN(CC(=O)N2C(c3ccc(F)cc3)CC(=O)C(CC)C2c2ccc(F)cc2)CC1,Ratio,'=',0.39,
CHEMBL2236088,CCOC(=O)N1CCN(CC(=O)N2C(c3ccccc3)CC(=O)C(CC)C2c2ccccc2)CC1,Ratio,'=',1.56,
CHEMBL374478,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,MIC,'=',32,ug.mL-1
CHEMBL574634,O=C(NCC1=C[C@@H]2Oc3ccccc3C(=O)C2=CN1c1ncc(Br)cc1Br)c1ccccc1,MIC,'=',11010,nM
CHEMBL574223,Cc1cccnc1N1C=C2C(=O)c3ccccc3O[C@H]2C=C1CNC(=O)c1ccc(Cl)cc1,MIC,'=',1700,nM
CHEMBL475517,Cc1ccc(NC(=S)N/N=C/c2ccc([N+](=O)[O-])o2)cc1,MIC,'=',5100,nM
CHEMBL516408,NS(=O)(=O)c1ccc(NC(=S)N/N=C/c2ccc([N+](=O)[O-])o2)cc1,MIC,'=',2100,nM
CHEMBL453767,CCc1cccc(CC)c1NC(=S)N/N=C/c1ccc([N+](=O)[O-])o1,MIC,'=',36000,nM
CHEMBL5400786,Cc1ccc(Nc2nc(-c3cc(C(=O)Nc4ccc(F)cc4)no3)cs2)cc1,MIC90,'=',1,ug.mL-1
CHEMBL255703,Cc1cc(O)c2c(c1)C(=O)c1ccc(O)c(O)c1C2=O,Activity,,,
CHEMBL411022,,,,,
CHEMBL64,NNC(=O)c1ccncc1,CFU,'=',1.1,10^3/ml
CHEMBL64,NNC(=O)c1ccncc1,CFU,'=',0,/ml
CHEMBL64,NNC(=O)c1ccncc1,CFU,'=',7.5,10^4/ml
CHEMBL459187,COc1cc2c(ccc3c(C)c(C)ccc32)cc1C(C)C,Activity,,,
CHEMBL5397721,O=[N+]([O-])c1cc(CSc2nnc(-c3ccccc3)o2)cc(-n2cccc2)c1,MIC>99,'>',250,uM
CHEMBL5426388,COc1ccc(-c2nnc(SCc3cncc([N+](=O)[O-])c3)o2)cc1,MIC>99,'=',16,uM
CHEMBL5407862,O=[N+]([O-])c1ccc(C(F)(F)F)cc1CSc1nnnn1-c1ccccc1,MIC>99,'=',250,uM
CHEMBL1080856,COc1ccc(/C=C/C(=O)NC(=N)N/N=C/c2ccc(F)cc2)cc1,MIC,'=',13800,nM
CHEMBL594885,COc1ccc(Cn2cnc3c(/C=C4\OCc5ccccc54)nc(Cl)nc32)cc1,IC50,'<',480,nM
CHEMBL1631436,CC1(C)C=Cc2c(ccc3oc4cc(O)ccc4c23)O1,MIC95,'=',94,uM
CHEMBL1631439,CC1(C)CCc2c(ccc3oc4ccc(O)cc4c23)O1,MIC95,'=',140,uM
CHEMBL1631516,CC1(C)C=Cc2c(ccc3oc4cc(-c5ccc6c(c5)oc5ccc7c(c56)C=CC(C)(C)O7)ccc4c23)O1,MIC95,'>',200,uM
CHEMBL1630915,O=C1Nc2ccccc2[C@]12N1CSC[C@H]1[C@H](c1ccc(Br)cc1)[C@]21Cc2ccccc2C1=O,MIC,'=',24.2,ug.mL-1
CHEMBL1630921,O=C1Nc2ccc(Cl)cc2[C@]12N1CSC[C@H]1[C@H](c1ccc(Cl)cc1)[C@]21Cc2ccccc2C1=O,MIC,'=',24.6,ug.mL-1
CHEMBL1290456,O=C1Nc2ccc([N+](=O)[O-])cc2[C@]12N1CSC[C@H]1[C@H](c1cccc(Cl)c1Cl)[C@]21Cc2ccccc2C1=O,MIC,'=',2.8,ug.mL-1
CHEMBL469014,Fc1ccc(N2N=C(c3ccc(Cl)cc3)[C@H](n3ccnc3)[C@H]2c2ccc(Cl)cc2)cc1,MIC,'=',4,ug.mL-1
CHEMBL64,NNC(=O)c1ccncc1,MIC,'=',0.36,ug.mL-1
CHEMBL410294,CCC(C)[C@H]1C(O)=C(C#N)C(=O)N1Cc1ccccc1,Activity,,,
CHEMBL271411,CCN1C(=O)/C(=C(/C)O)C(=O)[C@@H]1Cc1ccccc1,MIC,'>',200,ug.mL-1
CHEMBL271954,C/C(O)=C1\C(=O)[C@H](Cc2ccccc2)N(Cc2ccccc2)C1=O,MIC,'>',200,ug.mL-1
CHEMBL502375,C/C=C(/C)C(=O)O[C@@H]1[C@@H](O)C(C)(C)C[C@H]2C3=CC[C@@H]4[C@]56CC[C@](O)(OC5)C(C)(C)[C@@H]6CC[C@@]4(C)[C@]3(C)CC[C@@]12C(=O)O,MIC,'=',64000,nM
CHEMBL5270623,CC(C)=CCC/C(C)=C/CCC1(C)C=Cc2c(C=O)c(O)c(C)c(O)c2O1,Activity,,,
CHEMBL506743,CC[C@H](C)[C@@H]1NC(=O)[C@@H](CCC(N)=O)NC(=O)CNC(=O)[C@H](Cc2ccc(O)cc2)/N=C/[C@H](Cc2ccccc2)NC(=O)[C@@H]2C[C@H](C)CN2C(=O)[C@H](CO)NC1=O,Activity,,,
CHEMBL3338561,O=S(=O)(c1ccc(Br)cc1)N1CCN(c2noc3cc(Cl)ccc23)CC1,MIC,'>',50,ug.mL-1
CHEMBL3338563,O=S(=O)(c1ccccc1)N1CCN(c2noc3c(Cl)cccc23)CC1,MIC,'=',25,ug.mL-1
CHEMBL3088173,Cc1csc(C(C)(O)c2nnc(Nc3ccn(Cc4c(F)cccc4F)n3)s2)n1,MIC,'=',200,nM
CHEMBL208981,CCCCC/C=C/C/C=C/CCCCCCCC(=O)OC(COC(=O)CCCCCCCCC)CO[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,MIC,'>',128,ug.mL-1
CHEMBL234620,CCCCCCCCCCCCCC(=O)OCC(CO[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)OC(=O)CCCCCCCCCCCCC,MIC,'>',128,ug.mL-1
CHEMBL448189,CCCCC/C=C/C/C=C/CCCCCCCC(=O)OC(COC(=O)CCCCCCC)CO[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,MIC,'=',128,ug.mL-1
CHEMBL502308,CCCCCCCC/C=C/CCCCCCCC(=O)OC(COC(=O)CCCCCCC)CO[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,MIC,'=',64,ug.mL-1
CHEMBL3409428,COC1CCCC(c2cc(C(=O)NN)nc3ccccc23)C1,IC50,'=',2951.21,nM
CHEMBL3407520,CCCCC(O)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1,IC50,'=',2187.76,nM
CHEMBL3409437,CCC(O)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1,IC50,'=',6918.31,nM
CHEMBL3409447,O=C(c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2c1)N1CCN(c2ccccc2)CC1,IC50,'=',870.96,nM
CHEMBL3409448,O=C(NO)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2c1,IC50,'=',1174.9,nM
