Molecule ChEMBL ID,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units
CHEMBL224892,O=[N+]([O-])c1ccc(-c2nnc(Nc3ccccc3)s2)cc1,Inhibition,'=',39,%
CHEMBL387664,Cc1ccc(Nc2nnc(-c3ccc(F)cc3)s2)cc1,Inhibition,'=',39,%
CHEMBL225504,Fc1ccc(Nc2nnc(-c3ccc(Br)cc3)s2)cc1,Inhibition,'=',42,%
CHEMBL373634,Brc1ccc(Nc2nnc(-c3ccccc3)s2)cc1,Inhibition,'=',36,%
CHEMBL4083634,Cc1ccc(Nc2nc(-c3cc(C(=O)Nc4ccccc4)no3)cs2)cc1,MIC90,'=',1,ug.mL-1
CHEMBL4,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,Activity,,,
CHEMBL4,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,Log10 cfu,'=',1.5,
CHEMBL2235061,COc1ccc(C2=NN(C(C)=O)C(c3ccc(-c4ccc(Cl)c(Cl)c4)o3)C2)cc1,GI,'=',0,%
CHEMBL64,NNC(=O)c1ccncc1,MIC,'=',290,nM
CHEMBL228128,COc1cc(CCc2ccccc2O)c(O)c(OC)c1,MIC,'=',91200,nM
CHEMBL4061841,NC(=O)C1CCN(Cc2c(-c3ccccc3)[nH]c3ccnc(Cl)c23)CC1,MIC,'>',25,ug.mL-1
CHEMBL374478,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,MIC,'=',0.02,ug.mL-1
CHEMBL244579,COc1ccc(Nc2nc(Nc3ccc(OC)cc3)nc(Nc3ccc(OC)cc3)n2)cc1,MIC,'>',6.25,ug.mL-1
CHEMBL242650,c1ccc(Nc2nc(Nc3ccccc3)nc(Nc3ccccc3)n2)cc1,Inhibition,'=',0,%
CHEMBL1455,CN(C)c1nc(N(C)C)nc(N(C)C)n1,Inhibition,'=',28,%
CHEMBL387746,Cc1ccc(CSc2ccncc2)cc1,MIC,'=',62500,nM
CHEMBL226705,c1ccc(CSc2nnnn2-c2ccccc2)cc1,MIC,'=',16000,nM
CHEMBL390126,Cc1ccc(-n2nnnc2SCc2ccccc2)cc1,MIC,'=',32000,nM
CHEMBL226653,Sc1nnnn1-c1ccc(Cl)cc1,MIC,'=',500000,nM
CHEMBL226653,Sc1nnnn1-c1ccc(Cl)cc1,MIC,'>',500000,nM
CHEMBL227336,Cc1ccc(-n2nnnc2SCCCCCCCOc2ccc3c(c2)CC[C@@H]2[C@@H]3CC[C@]3(C)C(=O)CC[C@@H]23)cc1,MIC,'>',500000,nM
