tr_y,tr_pred,tr_proba,te_y,te_pred,te_proba
0.0,0.0,0.41492528627872793,1.0,1.0,0.6205959364647035
0.0,0.0,0.4770076245682204,0.0,1.0,0.5436946727448273
1.0,0.0,0.4889617615895829,0.0,1.0,0.5112650677018542
1.0,1.0,0.5483179873540917,1.0,1.0,0.5466605539229652
1.0,1.0,0.5290497748831783,1.0,1.0,0.60573184418639
0.0,0.0,0.4774156798622938,1.0,1.0,0.6606345471671765
0.0,0.0,0.44302254439210004,0.0,0.0,0.34381920444153424
0.0,0.0,0.4320940570282786,0.0,0.0,0.4563106520914594
1.0,1.0,0.5179540509918457,1.0,1.0,0.6556979824144041
0.0,0.0,0.37858456850463124,1.0,1.0,0.5012574598983399
1.0,1.0,0.5073888092834384,1.0,0.0,0.4897485476000156
1.0,1.0,0.5379754284834809,1.0,1.0,0.5473651530811271
0.0,0.0,0.46776910104557734,1.0,0.0,0.45358736779799835
1.0,0.0,0.46132664553098285,0.0,0.0,0.41756485124765513
0.0,0.0,0.33581065292261675,0.0,1.0,0.5323603067336637
1.0,1.0,0.5475661021714379,0.0,0.0,0.43791754838249275
0.0,0.0,0.3715491988002241,1.0,1.0,0.664439791899504
0.0,0.0,0.3505418250327477,1.0,1.0,0.692015625830659
0.0,0.0,0.41230619001406227,0.0,0.0,0.3691429448865469
0.0,0.0,0.33028297878437085,0.0,0.0,0.46280509884703175
0.0,0.0,0.3641468108590818,0.0,0.0,0.4114554008767995
1.0,1.0,0.5939550237156517,1.0,0.0,0.4472280207574758
0.0,0.0,0.39593353227819156,0.0,0.0,0.35870668976196135
1.0,1.0,0.5689893245918368,0.0,0.0,0.39728160710425064
1.0,1.0,0.5195620008339367,0.0,0.0,0.3866911701079501
0.0,0.0,0.4348288293118114,0.0,0.0,0.48960744662160827
0.0,0.0,0.3589350807648919,0.0,0.0,0.42476618958720996
0.0,0.0,0.398469060727572,0.0,0.0,0.37921105282512324
1.0,0.0,0.4851063540482059,1.0,1.0,0.5545461211922288
0.0,1.0,0.5488566691134762,0.0,1.0,0.5121984984807306
1.0,1.0,0.5001440095379812,1.0,1.0,0.5481923187295371
1.0,0.0,0.4916471076869611,1.0,0.0,0.45326128312210956
1.0,1.0,0.544501597256044,1.0,0.0,0.42418258094526406
1.0,0.0,0.4212254552344978,1.0,1.0,0.5947834506664443
1.0,1.0,0.6520001701161461,1.0,0.0,0.47581058978475294
1.0,1.0,0.5702058297114638,1.0,1.0,0.7821420618537889
0.0,0.0,0.37673304439294925,1.0,1.0,0.6521944212488209
1.0,1.0,0.5417748475723282,1.0,0.0,0.46404840020897375
1.0,1.0,0.5264250629029746,0.0,0.0,0.41132784884984436
1.0,1.0,0.757970764560982,0.0,0.0,0.4705432690026776
0.0,0.0,0.39915378774610377,0.0,0.0,0.4296186452788802
1.0,0.0,0.47845982897348954,0.0,0.0,0.4609944668622321
1.0,0.0,0.43449521108124445,1.0,0.0,0.4528137027537404
1.0,0.0,0.4530508819302526,0.0,0.0,0.4663971308002833
1.0,1.0,0.5251231248195064,1.0,1.0,0.5194184506043891
0.0,0.0,0.4958814981782847,0.0,0.0,0.4733612566514154
1.0,1.0,0.5209346085931721,0.0,0.0,0.41886865627747105
0.0,0.0,0.4609514554454754,0.0,0.0,0.42846633150171526
1.0,0.0,0.4782579970309111,1.0,1.0,0.5105982779205213
0.0,0.0,0.40891380474411154,1.0,1.0,0.6063652383436304
1.0,1.0,0.6778134929567246,0.0,0.0,0.3406259863421276
0.0,0.0,0.4483623973990887,0.0,0.0,0.4452802685958051
0.0,0.0,0.4164176245957073,0.0,0.0,0.41017135151010464
1.0,0.0,0.367480382695788,0.0,0.0,0.4501075508020544
0.0,0.0,0.34268627763592374,1.0,0.0,0.3759368267458945
0.0,0.0,0.4455042029657936,1.0,1.0,0.5011752739820767
1.0,1.0,0.5843897581487533,1.0,0.0,0.4652641186077931
1.0,0.0,0.4168780386951595,1.0,1.0,0.5351551814742719
0.0,0.0,0.41472632143494287,1.0,1.0,0.6142269597020669
0.0,0.0,0.40100101644446934,1.0,1.0,0.5300286491051821
0.0,0.0,0.3381478297440281,0.0,0.0,0.4307453359346837
0.0,0.0,0.37501913225667266,0.0,1.0,0.6674354848548664
1.0,0.0,0.40670012113384457,0.0,0.0,0.3761279345391153
1.0,1.0,0.7608105476974051,1.0,1.0,0.5119111343922247
1.0,0.0,0.41989929610501875,0.0,0.0,0.43356514870514407
0.0,0.0,0.4694472495208181,0.0,0.0,0.47977092331831545
1.0,1.0,0.5244759349779792,0.0,0.0,0.3480383781770649
1.0,1.0,0.5559574716413201,1.0,0.0,0.3526617434268186
0.0,0.0,0.39864304856121,0.0,0.0,0.37642134538013977
0.0,0.0,0.4048945379763757,1.0,1.0,0.5151677561817009
0.0,0.0,0.4749413791596028,1.0,0.0,0.41654991194596597
1.0,0.0,0.43250971486139533,1.0,0.0,0.45391574847271454
0.0,1.0,0.5167395525849862,1.0,0.0,0.4838199329019806
0.0,0.0,0.41697613827795177,0.0,1.0,0.6295686492504782
1.0,0.0,0.3868180258336006,0.0,1.0,0.5375152845045569
1.0,1.0,0.6247623970492107,0.0,0.0,0.4235524290983159
1.0,1.0,0.6818805951192825,0.0,0.0,0.46647057703679246
0.0,0.0,0.405953257854688,1.0,1.0,0.5354641556435258
0.0,0.0,0.49557431835544846,0.0,1.0,0.5071227563582453
1.0,0.0,0.42858619672721243,0.0,1.0,0.5987905612653317
0.0,0.0,0.4845822928614035,1.0,0.0,0.4336913660678312
1.0,0.0,0.46768302621914637,0.0,0.0,0.45903415407184855
1.0,0.0,0.375179081512811,1.0,1.0,0.5012467822134649
0.0,0.0,0.4171688806754414,1.0,0.0,0.4760110155414867
1.0,1.0,0.5111071193227654,1.0,1.0,0.6862903073526058
1.0,0.0,0.4856359342354936,0.0,0.0,0.41259956447725055
1.0,1.0,0.5604028054835583,0.0,0.0,0.4084066046117116
0.0,0.0,0.4322421939806859,0.0,0.0,0.4554332815421238
0.0,1.0,0.5190735042515073,0.0,0.0,0.4722024730894072
0.0,0.0,0.4517586235350288,0.0,0.0,0.4280760582650345
1.0,1.0,0.5499354805427837,1.0,0.0,0.49238126423769574
1.0,0.0,0.43882067992503476,1.0,1.0,0.6737946424110535
0.0,0.0,0.39708050334110717,1.0,1.0,0.6951941662088618
0.0,0.0,0.4157987907071484,0.0,0.0,0.3983557972091368
1.0,1.0,0.6339590992074916,0.0,0.0,0.39531165217045555
0.0,0.0,0.4691919371014938,0.0,0.0,0.48227457087502035
1.0,0.0,0.4072192014739949,1.0,1.0,0.7224699588784953
0.0,0.0,0.4181948510710238,0.0,0.0,0.48262981360582446
1.0,0.0,0.45634170188713724,0.0,0.0,0.4308654882095288
1.0,0.0,0.4423463475382808,0.0,0.0,0.4470622398966772
0.0,0.0,0.4319051664533039,0.0,0.0,0.396960137103815
1.0,1.0,0.516792861150918,1.0,0.0,0.47618626451890284
0.0,0.0,0.42042636928634064,0.0,0.0,0.43384308521366854
0.0,0.0,0.4522364790728697,1.0,0.0,0.4873136414788119
0.0,0.0,0.363888955035119,1.0,0.0,0.36896909029506797
0.0,0.0,0.4242126994867039,1.0,0.0,0.39541255815651816
1.0,1.0,0.5473750697557946,0.0,0.0,0.4411159488789808
0.0,0.0,0.40281139645712294,1.0,1.0,0.5396061452725712
1.0,0.0,0.4137701096915351,1.0,0.0,0.46060441414319664
1.0,0.0,0.3495963065770418,0.0,0.0,0.4562156884853595
0.0,0.0,0.3763383174475621,1.0,1.0,0.5921168718191722
1.0,0.0,0.4153001596364039,1.0,1.0,0.5384894305270086
0.0,0.0,0.4555913553959379,1.0,1.0,0.5262051023384433
0.0,0.0,0.3550473790814777,1.0,0.0,0.43803971343780906
1.0,0.0,0.4402755009271116,0.0,0.0,0.42232984917082766
0.0,0.0,0.44172248716902984,0.0,0.0,0.4051260133352765
0.0,0.0,0.46189799558391353,1.0,1.0,0.5351286352073507
1.0,1.0,0.5729314804936805,1.0,1.0,0.7940405524789326
0.0,0.0,0.46988518340954843,1.0,1.0,0.5146350588068559
1.0,1.0,0.5422275817340177,0.0,0.0,0.41570572551783774
1.0,1.0,0.5044382047374365,0.0,1.0,0.5207482667571155
0.0,0.0,0.4263381560595168,1.0,0.0,0.429681840519119
0.0,0.0,0.3804499965422788,1.0,1.0,0.6772815364550069
0.0,0.0,0.37699063377159553,1.0,0.0,0.4893727460408035
1.0,0.0,0.46154916375495275,1.0,1.0,0.5063762470825941
0.0,0.0,0.4318412914138472,1.0,1.0,0.6229166743751544
1.0,0.0,0.47744299357716086,1.0,1.0,0.6386282230016107
0.0,0.0,0.42725009401905994,0.0,1.0,0.5082080847418974
1.0,1.0,0.5789908528891079,0.0,1.0,0.5647293836250544
0.0,0.0,0.4270061705952208,1.0,1.0,0.5511069466610927
0.0,0.0,0.37362407252379154,0.0,0.0,0.4900568854041484
0.0,0.0,0.37952249121427367,1.0,1.0,0.581568265641375
1.0,1.0,0.5304800585476663,1.0,0.0,0.4092956248879648
0.0,0.0,0.49163182796620697,0.0,0.0,0.4244552770045266
0.0,0.0,0.4296186452788802,0.0,0.0,0.4019444585941374
1.0,1.0,0.5444838794498666,1.0,1.0,0.5273352559403092
0.0,0.0,0.43204263160541023,1.0,0.0,0.41543602903454835
0.0,0.0,0.45931446939455417,1.0,1.0,0.6883524868196144
0.0,0.0,0.4044294844844133,0.0,0.0,0.4354024880075271
1.0,1.0,0.616315166602293,1.0,0.0,0.4599223912286297
1.0,1.0,0.5111990909459927,0.0,0.0,0.41366319232261217
1.0,0.0,0.4336864831378527,0.0,0.0,0.33667315292064104
1.0,1.0,0.6223088799276834,1.0,0.0,0.4858102280147118
0.0,0.0,0.3887338440365141,0.0,0.0,0.37342936854212555
1.0,1.0,0.5366064819136771,0.0,0.0,0.3982268567026286
1.0,1.0,0.7199453655411997,0.0,0.0,0.24946966768301984
0.0,0.0,0.4690664941038441,1.0,1.0,0.5312338383608074
0.0,0.0,0.44575664923955555,0.0,0.0,0.3581924300308196
0.0,0.0,0.37424321670434674,1.0,0.0,0.46959045638827873
1.0,0.0,0.49676494304704855,1.0,1.0,0.570293145800718
0.0,0.0,0.4679813979302729,1.0,1.0,0.5380627318185612
0.0,0.0,0.4101064895679621,1.0,1.0,0.6453071146507504
1.0,1.0,0.5054319038108044,0.0,0.0,0.3775607991254456
0.0,0.0,0.44114464880329096,1.0,1.0,0.5304366126824901
1.0,1.0,0.5696349107391203,0.0,0.0,0.3614403734189168
1.0,0.0,0.49873630991432205,0.0,1.0,0.5313200889715173
0.0,0.0,0.42517962035184337,1.0,0.0,0.4697466856422118
1.0,0.0,0.45297556828155916,1.0,0.0,0.44554700936539093
1.0,0.0,0.4300356416946342,0.0,0.0,0.3577936509897649
1.0,0.0,0.4489474421388944,1.0,0.0,0.47038485238964267
0.0,0.0,0.35441756489906545,1.0,1.0,0.6703930309326401
1.0,1.0,0.6334497819206264,1.0,0.0,0.4975412573496962
1.0,0.0,0.4662750268889366,1.0,0.0,0.42544455309510804
1.0,0.0,0.4924865448100786,0.0,1.0,0.5142589186252987
0.0,0.0,0.43188996770628457,1.0,1.0,0.7612269749974169
0.0,0.0,0.4241481099092288,0.0,0.0,0.3516871822761716
0.0,1.0,0.5282133521955161,1.0,1.0,0.7820186205612205
0.0,0.0,0.3720726016211033,1.0,1.0,0.7791417270324906
0.0,1.0,0.5440914762325558,1.0,1.0,0.5092885712431485
1.0,1.0,0.5086407830523387,1.0,1.0,0.6470397822532846
0.0,1.0,0.5246083193495302,1.0,0.0,0.4652641186077931
1.0,0.0,0.4882222738692776,1.0,1.0,0.7044777170200938
1.0,0.0,0.4914808068755295,1.0,1.0,0.5205090266259772
1.0,0.0,0.4700588039080088,0.0,0.0,0.42352418678559745
1.0,1.0,0.644926830939275,0.0,0.0,0.37604930191194363
0.0,1.0,0.5504859189317035,1.0,1.0,0.5274149100593768
0.0,0.0,0.46184818635572294,1.0,1.0,0.7038076382193084
1.0,1.0,0.5460768153216765,1.0,1.0,0.5523373505770212
1.0,1.0,0.5297832839764787,0.0,0.0,0.44654282543400836
1.0,1.0,0.5876745995584964,1.0,1.0,0.5163080795254484
0.0,0.0,0.45080380915514395,0.0,0.0,0.47805159706494543
0.0,0.0,0.3535689400353032,0.0,1.0,0.5169283810012801
1.0,1.0,0.5662723352265662,0.0,0.0,0.3979589679513257
1.0,0.0,0.4994813402616627,0.0,0.0,0.4259134273920464
0.0,0.0,0.4380313144279686,0.0,0.0,0.44607672761692463
0.0,1.0,0.5134482702951491,0.0,0.0,0.4529738210319569
0.0,0.0,0.4597493536384638,0.0,0.0,0.4076529224076146
1.0,0.0,0.49340015875577825,1.0,0.0,0.47444878562409565
0.0,0.0,0.3982275266155246,0.0,0.0,0.4544284291364183
0.0,0.0,0.47040426860165496,0.0,0.0,0.43978639697365146
0.0,0.0,0.35406521679495356,0.0,0.0,0.389532153162774
1.0,1.0,0.5172926674969739,1.0,1.0,0.6087272349325099
1.0,1.0,0.5688029281897793,0.0,0.0,0.3729231865980508
1.0,1.0,0.6813204950068582,1.0,0.0,0.48901692303435645
0.0,0.0,0.45558721136106806,1.0,0.0,0.4456003050874572
1.0,0.0,0.40909081438360956,0.0,0.0,0.43165344667772015
0.0,1.0,0.5016916422468348,1.0,1.0,0.6502187004115674
0.0,0.0,0.4340943802109196,1.0,1.0,0.5763421590265135
1.0,1.0,0.5041106152322584,1.0,0.0,0.44951734989671344
0.0,0.0,0.41876358137501773,1.0,0.0,0.4814866073561248
0.0,0.0,0.4250336278308986,0.0,0.0,0.4171486277474379
1.0,1.0,0.6896321277789257,1.0,1.0,0.5033552193004209
0.0,0.0,0.4462156146969635,1.0,1.0,0.5177582973576632
0.0,0.0,0.406115975051094,0.0,0.0,0.3893610509205638
1.0,1.0,0.6372070942698158,0.0,0.0,0.4349740039128732
1.0,0.0,0.42991636365655134,1.0,1.0,0.5249842503960346
1.0,1.0,0.5989392200341074,1.0,1.0,0.5324501844794286
0.0,0.0,0.37096883629945865,1.0,0.0,0.4652641186077931
0.0,0.0,0.4495872631605334,0.0,0.0,0.33325464942743827
0.0,0.0,0.4519940201461207,1.0,1.0,0.5530789360245089
0.0,1.0,0.5217611585899473,0.0,0.0,0.4726212642392986
0.0,0.0,0.4299892219567009,1.0,0.0,0.441870275743529
1.0,1.0,0.7596954624373945,0.0,0.0,0.4385096275292506
1.0,0.0,0.4299022551176534,1.0,0.0,0.4768817180589552
1.0,1.0,0.7220651492566154,1.0,1.0,0.5675852941016654
0.0,0.0,0.44517380564338577,1.0,1.0,0.5800215649188483
1.0,0.0,0.4515960316711036,0.0,0.0,0.46721726653090373
1.0,0.0,0.4877921132013474,0.0,0.0,0.4255220691407665
0.0,0.0,0.3824642670100204,0.0,0.0,0.3715581120253409
0.0,0.0,0.347556177685587,1.0,0.0,0.4025632526948434
0.0,0.0,0.4630408015832662,1.0,0.0,0.3953743242314909
0.0,0.0,0.42667535872845175,0.0,0.0,0.32828744666956583
0.0,0.0,0.44038449127047563,1.0,1.0,0.5541892937708515
1.0,0.0,0.4392481726104122,0.0,0.0,0.40976189168613053
0.0,0.0,0.43968925188641256,1.0,1.0,0.7884226912682362
