tr_y,tr_pred,tr_proba,te_y,te_pred,te_proba
0.0,0.0,0.43989815923559644,1.0,0.0,0.4168586846168353
1.0,1.0,0.5360522397347462,0.0,0.0,0.4181340264254111
0.0,0.0,0.4674437628645363,0.0,0.0,0.45616227879562465
0.0,0.0,0.2961516641177439,0.0,0.0,0.3857407208625612
1.0,0.0,0.4713053602999484,1.0,0.0,0.4340198154515979
1.0,1.0,0.612971006744168,1.0,1.0,0.5099460435955584
1.0,1.0,0.5392398923910369,1.0,1.0,0.5688847300686984
1.0,0.0,0.4509673235973318,0.0,0.0,0.45256509720796223
1.0,0.0,0.47646603512828073,0.0,0.0,0.48198936546828036
1.0,0.0,0.4357669466787095,0.0,0.0,0.4531366513123994
0.0,0.0,0.4292330991357121,1.0,1.0,0.6090391466439218
0.0,0.0,0.399526739852827,1.0,0.0,0.4509695925895864
1.0,1.0,0.5693479294453075,0.0,0.0,0.49829971438590487
1.0,0.0,0.39482630147116765,1.0,1.0,0.5226310855705343
1.0,1.0,0.6035364067238976,0.0,0.0,0.39638674394350804
1.0,0.0,0.4502254757602867,1.0,0.0,0.42072960262816766
1.0,1.0,0.5231267683905576,1.0,0.0,0.46577410389934437
1.0,0.0,0.41586753627402107,1.0,0.0,0.43413916454799123
0.0,0.0,0.40410034536878753,0.0,0.0,0.4667054124131645
1.0,0.0,0.4476618807247023,0.0,0.0,0.3871798357750385
0.0,0.0,0.4970958086512947,0.0,0.0,0.44600640185722057
1.0,1.0,0.5501642622431047,0.0,0.0,0.4236735318899386
0.0,0.0,0.36085841870909213,0.0,1.0,0.5060081044420672
0.0,1.0,0.5147012616446316,0.0,1.0,0.5555794375783691
1.0,0.0,0.425863725182593,0.0,1.0,0.6988991852530614
1.0,0.0,0.459723920911907,0.0,1.0,0.5173714723812117
1.0,1.0,0.7021300684233986,1.0,0.0,0.46168177668500204
1.0,0.0,0.4944001603294949,0.0,0.0,0.46153555838002364
0.0,0.0,0.4329979566233333,1.0,0.0,0.4052614322775348
