nhead,d_model,dim_feedforward,dropout,num_layers,layerdrop,value
2,64,256,0.4,2,0.2,0.1874650434899121
2,256,512,0.4,2,0.3,0.22260892916431735
2,128,256,0.1,2,0.2,0.34117702778207726
4,64,512,0.3,2,0.1,0.21417977618411688
2,128,512,0.4,2,0.1,0.217751755366811
4,256,256,0.1,4,0.3,0.37796443210603325
2,256,512,0.2,6,0.3,0.3173361504192502
2,256,1024,0.3,2,0.1,0.28178179976581985
2,64,512,0.4,4,0.3,0.1811462915026435
8,64,1024,0.1,4,0.1,0.31125412460428714
4,256,256,0.1,3,0.3,0.36425621661522134
4,256,256,0.1,3,0.3,
4,256,256,0.1,3,0.3,
4,256,256,0.1,4,0.3,
4,256,256,0.2,3,0.3,0.3012020778941023
8,256,256,0.1,6,0.3,0.39104998796834783
8,128,1024,0.1,6,0.2,0.3530737667426335
8,256,256,0.1,6,0.3,
8,256,256,0.2,6,0.3,0.3274044409313991
8,128,256,0.3,4,0.2,0.25509504792966814
8,256,1024,0.1,6,0.3,0.38999910063755944
8,256,1024,0.1,6,0.3,
8,256,1024,0.1,6,0.3,
8,256,1024,0.1,6,0.3,
8,256,1024,0.1,4,0.3,0.3877584233677693
8,256,1024,0.1,6,0.3,
8,256,1024,0.1,4,0.3,
8,256,1024,0.2,6,0.3,0.32155306090971736
8,128,1024,0.3,6,0.2,0.26097730909967704
8,64,1024,0.4,4,0.1,0.20813865921521285
8,64,1024,0.1,6,0.2,0.30779480110835694
4,256,256,0.1,4,0.3,
8,256,256,0.1,4,0.3,0.39466387527111463
8,256,256,0.1,4,0.3,
8,256,256,0.1,4,0.3,
8,256,512,0.4,2,0.3,0.2424817778622203
8,128,1024,0.1,4,0.3,0.33354889424055756
8,256,512,0.1,4,0.1,0.4257094022404688
2,256,512,0.3,2,0.1,0.28118940955325095
8,64,512,0.4,6,0.1,0.1980626989624465
2,256,512,0.1,4,0.1,0.38225644406072157
8,256,512,0.1,4,0.1,
8,256,512,0.1,4,0.1,
8,256,256,0.1,4,0.3,
8,256,512,0.1,4,0.1,
8,256,256,0.1,2,0.3,0.3536100105829917
2,256,1024,0.2,3,0.2,0.33070375053899664
8,64,256,0.1,4,0.3,0.27318543777291165
8,128,512,0.3,6,0.1,0.26473283320172575
8,256,256,0.1,3,0.3,0.3732660005481601
