mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.1873629093170166,0.007251986592074994,0.007600164413452149,0.00048695486563645596,0.3,0.1,2,10,0.3,"{'colsample_bytree': 0.3, 'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 10, 'subsample': 0.3}",0.6182873730043541,0.6153846153846154,0.6147144240077445,0.6093901258470474,0.611810261374637,0.6139173599236797,0.0030600940098962724,86
0.18142576217651368,0.0015212485974236648,0.009907054901123046,0.00532466554606091,0.3,0.1,2,10,0.5,"{'colsample_bytree': 0.3, 'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 10, 'subsample': 0.5}",0.6124818577648766,0.6052249637155298,0.6137463697967086,0.5972894482090997,0.6093901258470474,0.6076265530666525,0.005945749704138069,91
0.2658890724182129,0.006179099569404182,0.007511043548583984,0.00044424926344268175,0.3,0.1,2,30,0.3,"{'colsample_bytree': 0.3, 'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 30, 'subsample': 0.3}",0.6477987421383647,0.6468311562651186,0.6243949661181026,0.6427879961277831,0.6466602129719264,0.641694614724259,0.008817878670472979,61
0.2607977867126465,0.002305406517918837,0.007574796676635742,0.00046463887182158727,0.3,0.1,2,30,0.5,"{'colsample_bytree': 0.3, 'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 30, 'subsample': 0.5}",0.6545718432510885,0.6531204644412192,0.6456921587608906,0.6345595353339787,0.6481122942884802,0.6472112592151313,0.007103274615454751,57
0.34552478790283203,0.006409838261975879,0.010139989852905273,0.0044625991729194845,0.3,0.1,2,50,0.3,"{'colsample_bytree': 0.3, 'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 50, 'subsample': 0.3}",0.6618287373004355,0.6540880503144654,0.6558567279767668,0.6621490803484995,0.653920619554695,0.6575686430989724,0.0036737464065717774,46
0.34437255859375,0.00986270931836805,0.008101797103881836,0.00020656190526745303,0.3,0.1,2,50,0.5,"{'colsample_bytree': 0.3, 'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 50, 'subsample': 0.5}",0.6676342525399129,0.6681180454765361,0.6723136495643756,0.6495643756050339,0.6573088092933205,0.6629878264958358,0.00833450259923122,43
0.41905717849731444,0.005508644864896424,0.007801246643066406,0.0007469824680336923,0.3,0.1,2,70,0.3,"{'colsample_bytree': 0.3, 'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 70, 'subsample': 0.3}",0.6773101112723754,0.6652152878567973,0.6723136495643756,0.6727976766698935,0.6694094869312681,0.671409242458942,0.003998250875263883,39
0.41992778778076173,0.00786067645100544,0.007958221435546874,8.639644552431055e-05,0.3,0.1,2,70,0.5,"{'colsample_bytree': 0.3, 'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 70, 'subsample': 0.5}",0.6744073536526367,0.6734397677793904,0.6887705711519845,0.670377541142304,0.6698935140367861,0.6753777495526203,0.0069158374082710665,35
0.4922942638397217,0.001833661127943002,0.00780181884765625,0.0003978327425016645,0.3,0.1,2,90,0.3,"{'colsample_bytree': 0.3, 'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 90, 'subsample': 0.3}",0.6845670053217223,0.6729559748427673,0.6945788964181994,0.6790900290416263,0.6853823814133592,0.6833148574075348,0.007181597697719741,30
0.4986272811889648,0.009682293480728361,0.007480812072753906,0.0005269019398661628,0.3,0.1,2,90,0.5,"{'colsample_bytree': 0.3, 'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 90, 'subsample': 0.5}",0.6850507982583455,0.683115626511853,0.6960309777347532,0.685866408518877,0.685866408518877,0.6871860439085411,0.0045352684878255944,28
0.18672599792480468,0.0016969723541709271,0.007588338851928711,0.0005077877249614524,0.3,0.1,3,10,0.3,"{'colsample_bytree': 0.3, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 10, 'subsample': 0.3}",0.6289308176100629,0.6265118529269472,0.6205227492739593,0.6239109390125847,0.6374636979670861,0.627468011358128,0.005724634852109656,76
0.19152565002441407,0.007830171840856812,0.007599067687988281,0.0004837203662209424,0.3,0.1,3,10,0.5,"{'colsample_bytree': 0.3, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 10, 'subsample': 0.5}",0.6308659893565554,0.6211901306240929,0.6369796708615683,0.6345595353339787,0.6311713455953534,0.6309533343543097,0.00537953013435293,73
0.2734644889831543,0.0011578494580701134,0.007703447341918945,0.0003991131742650083,0.3,0.1,3,30,0.3,"{'colsample_bytree': 0.3, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 30, 'subsample': 0.3}",0.6676342525399129,0.6724721819061442,0.6655372700871249,0.6524685382381413,0.6636011616650532,0.6643426808872753,0.006631672315872414,41
0.28063507080078126,0.007743926252398837,0.007797145843505859,0.0003976429261234347,0.3,0.1,3,30,0.5,"{'colsample_bytree': 0.3, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 30, 'subsample': 0.5}",0.675858732462506,0.6845670053217223,0.6723136495643756,0.6665053242981607,0.6732817037754114,0.6745052830844352,0.005888460307977454,37
0.35983853340148925,0.0016144211196297473,0.007599592208862305,0.0004903769780521212,0.3,0.1,3,50,0.3,"{'colsample_bytree': 0.3, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.3}",0.6860183841315917,0.6894049346879536,0.6907066795740562,0.6752178121974831,0.6679574056147144,0.6818610432411598,0.008830432849201677,31
0.3681764602661133,0.008949316301183927,0.007402992248535157,0.0004907869377620091,0.3,0.1,3,50,0.5,"{'colsample_bytree': 0.3, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.5}",0.6879535558780842,0.6865021770682148,0.7003872216844144,0.6853823814133592,0.6839303000968054,0.6888311272281756,0.005927046712661925,26
0.4473592281341553,0.003010579915640438,0.008024358749389648,4.847715198899427e-05,0.3,0.1,3,70,0.3,"{'colsample_bytree': 0.3, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 70, 'subsample': 0.3}",0.6879535558780842,0.6976294146105467,0.7110358180058083,0.6969990319457889,0.6771539206195547,0.6941543482119565,0.011248259405909683,20
0.45512757301330564,0.007374817564544176,0.008000326156616212,4.6827254093898455e-06,0.3,0.1,3,70,0.5,"{'colsample_bytree': 0.3, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 70, 'subsample': 0.5}",0.6927914852443154,0.7024673439767779,0.7071636011616651,0.702323330106486,0.6989351403678606,0.700736180171421,0.004757933069768226,18
0.5378949165344238,0.008442738025117302,0.0078012943267822266,0.0004003157423884045,0.3,0.1,3,90,0.3,"{'colsample_bytree': 0.3, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 90, 'subsample': 0.3}",0.6990807934204161,0.7111756168359942,0.7289448209099709,0.7071636011616651,0.6897386253630203,0.7072206915382132,0.013110782352742564,14
0.5352225303649902,0.0029592348343240545,0.008006811141967773,4.126776985820543e-06,0.3,0.1,3,90,0.5,"{'colsample_bytree': 0.3, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 90, 'subsample': 0.5}",0.710691823899371,0.7111756168359942,0.7279767666989352,0.7061955469506292,0.7095837366892546,0.7131246982148369,0.007626968987487433,11
0.19830045700073243,0.007384929190186116,0.007662153244018555,0.00037726193377341367,0.3,0.1,4,10,0.3,"{'colsample_bytree': 0.3, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 10, 'subsample': 0.3}",0.6415094339622641,0.6390904692791485,0.6423039690222653,0.653920619554695,0.6452081316553727,0.6444065246947491,0.0051426626366747235,59
