nhead,d_model,dim_feedforward,dropout,num_layers,layerdrop,value
8,128,256,0.3,4,0.2,0.25482219248692395
8,256,1024,0.3,2,0.3,0.2769987182392257
2,256,256,0.4,4,0.1,0.2508837883705267
8,256,1024,0.2,4,0.2,0.33932352587843717
2,128,1024,0.2,3,0.3,0.2962898895270034
8,256,256,0.3,6,0.3,0.2939449678707321
2,64,512,0.4,6,0.1,0.20001643865792879
8,256,256,0.3,2,0.1,0.2986165822534811
4,128,512,0.3,4,0.2,0.25587618093121767
4,256,512,0.3,2,0.3,0.2677490154436659
8,64,1024,0.2,3,0.2,0.2530712309011024
8,256,256,0.1,2,0.1,0.4002339853391653
8,256,1024,0.1,2,0.2,0.38918076672236784
8,256,256,0.1,2,0.1,
8,256,1024,0.1,2,0.1,0.3982464595482377
4,64,256,0.1,2,0.1,0.29981075593498374
8,256,1024,0.1,2,0.1,
8,256,1024,0.1,2,0.1,
2,128,256,0.1,6,0.1,0.3684024309562421
4,64,512,0.1,3,0.1,0.31411530219274614
8,256,1024,0.1,2,0.1,
8,256,1024,0.1,2,0.2,
8,256,1024,0.1,2,0.2,
8,256,1024,0.1,2,0.2,
8,256,1024,0.4,2,0.1,0.24730696987176234
8,256,256,0.1,2,0.2,0.37910730858228503
8,256,1024,0.1,2,0.1,
8,256,1024,0.1,3,0.1,0.39750196538155663
2,64,512,0.1,3,0.1,0.3056156909341442
4,128,256,0.4,3,0.1,0.22575248537228898
8,128,256,0.2,3,0.1,0.3032938021392881
8,256,1024,0.1,3,0.2,0.40152385385697864
8,256,1024,0.1,3,0.3,0.37153671234212116
8,256,1024,0.1,3,0.1,
8,256,1024,0.1,4,0.1,0.4216775414035935
8,256,1024,0.1,4,0.2,0.39129612648557754
8,256,1024,0.2,4,0.3,0.32505657544364985
2,256,256,0.4,4,0.1,
8,256,1024,0.1,4,0.2,
8,256,1024,0.3,4,0.3,0.27842686526528193
2,128,512,0.1,6,0.1,0.3653146983222558
8,256,1024,0.1,3,0.1,
8,256,1024,0.1,3,0.1,
8,256,1024,0.1,3,0.1,
8,256,1024,0.2,6,0.1,0.3672717849793474
8,256,256,0.3,4,0.1,0.3068102024902244
4,64,1024,0.1,3,0.2,0.30642058108615394
8,256,1024,0.4,4,0.1,0.2590746940344324
8,256,256,0.1,3,0.3,0.37601280967772543
8,256,512,0.1,6,0.1,0.4174498720429044
