y,probs,preds
0.0,0.1693936,0.0
0.0,0.20729147,0.0
1.0,0.85626125,1.0
1.0,0.84648836,1.0
0.0,0.24010803,0.0
0.0,0.7078399,1.0
0.0,0.71259546,1.0
1.0,0.8589802,1.0
0.0,0.04937703,0.0
1.0,0.91057247,1.0
1.0,0.59015673,1.0
0.0,0.4226157,0.0
1.0,0.934114,1.0
1.0,0.9820577,1.0
1.0,0.92998266,1.0
1.0,0.9991966,1.0
0.0,0.36534247,0.0
0.0,0.044661332,0.0
0.0,0.0071897465,0.0
1.0,0.4659902,0.0
0.0,0.20038438,0.0
0.0,0.1988825,0.0
1.0,0.9262285,1.0
1.0,0.98017913,1.0
0.0,0.07138028,0.0
0.0,0.076328576,0.0
1.0,0.22696795,0.0
1.0,0.5770671,1.0
0.0,0.17508744,0.0
0.0,0.0024620546,0.0
1.0,0.34080505,0.0
1.0,0.9750727,1.0
1.0,0.99976665,1.0
1.0,0.841504,1.0
0.0,0.27388108,0.0
1.0,0.8800931,1.0
1.0,0.97309905,1.0
1.0,0.97827804,1.0
0.0,0.5975023,1.0
1.0,0.4931769,0.0
1.0,0.19372244,0.0
0.0,0.0074864184,0.0
1.0,0.99934036,1.0
0.0,0.52116406,1.0
1.0,0.93331844,1.0
1.0,0.38673905,0.0
0.0,0.09054846,0.0
0.0,0.032121915,0.0
1.0,0.99923813,1.0
0.0,0.24785805,0.0
1.0,0.6798523,1.0
1.0,0.96210414,1.0
1.0,0.99921703,1.0
1.0,0.9989279,1.0
1.0,0.88852304,1.0
1.0,0.88903785,1.0
0.0,0.6955143,1.0
1.0,0.95652485,1.0
0.0,0.49724886,0.0
1.0,0.99964964,1.0
0.0,0.13750547,0.0
1.0,0.9977355,1.0
1.0,0.64029175,1.0
1.0,0.8263407,1.0
1.0,0.40815377,0.0
0.0,0.039660875,0.0
0.0,0.25820297,0.0
0.0,0.05385666,0.0
1.0,0.9906679,1.0
0.0,0.27141404,0.0
1.0,0.82036716,1.0
1.0,0.9843997,1.0
1.0,0.9843865,1.0
0.0,0.003012617,0.0
0.0,0.0674039,0.0
1.0,0.44709998,0.0
1.0,0.41863868,0.0
0.0,0.11581918,0.0
0.0,0.14629246,0.0
1.0,0.78491867,1.0
0.0,0.1484854,0.0
0.0,0.05028224,0.0
1.0,0.23838148,0.0
0.0,0.5387251,1.0
1.0,0.94093513,1.0
1.0,0.31967154,0.0
0.0,0.539881,1.0
0.0,0.12115417,0.0
1.0,0.78320926,1.0
1.0,0.9951143,1.0
1.0,0.9877626,1.0
0.0,0.02474859,0.0
0.0,0.5505395,1.0
0.0,0.022467498,0.0
0.0,0.0013778927,0.0
1.0,0.2906731,0.0
1.0,0.99011946,1.0
1.0,0.67766935,1.0
1.0,0.6921885,1.0
0.0,0.05464516,0.0
0.0,0.48929247,0.0
1.0,0.99428767,1.0
0.0,0.66079956,1.0
0.0,0.4697212,0.0
0.0,0.6511394,1.0
1.0,0.54253423,1.0
1.0,0.7781505,1.0
1.0,0.8814609,1.0
1.0,0.8209352,1.0
1.0,0.96532947,1.0
1.0,0.9986891,1.0
1.0,0.77719057,1.0
1.0,0.91387725,1.0
1.0,0.99915695,1.0
0.0,0.017204246,0.0
1.0,0.99386966,1.0
0.0,0.041829698,0.0
0.0,0.37240073,0.0
1.0,0.4617301,0.0
0.0,0.015251629,0.0
1.0,0.7054197,1.0
0.0,0.22361478,0.0
0.0,0.54154813,1.0
0.0,0.9114753,1.0
0.0,0.13628088,0.0
0.0,0.46976432,0.0
0.0,0.031584416,0.0
0.0,0.06776743,0.0
1.0,0.9795999,1.0
0.0,0.24580687,0.0
0.0,0.65648925,1.0
0.0,0.60601187,1.0
1.0,0.95948637,1.0
0.0,0.44911337,0.0
1.0,0.99047965,1.0
1.0,0.99761164,1.0
0.0,0.0077518094,0.0
0.0,0.35521203,0.0
0.0,0.12690468,0.0
0.0,0.008346361,0.0
0.0,0.0020436312,0.0
1.0,0.80186796,1.0
1.0,0.9903228,1.0
1.0,0.998176,1.0
0.0,0.055862714,0.0
0.0,0.119827576,0.0
1.0,0.9927088,1.0
1.0,0.97548133,1.0
0.0,0.046018682,0.0
0.0,0.4997086,0.0
1.0,0.97822964,1.0
0.0,0.36737865,0.0
0.0,0.014639265,0.0
0.0,0.92690194,1.0
0.0,0.20212269,0.0
1.0,0.15302832,0.0
0.0,0.5492903,1.0
0.0,0.38033178,0.0
1.0,0.98468924,1.0
0.0,0.34842482,0.0
1.0,0.96322674,1.0
0.0,0.26347947,0.0
1.0,0.6623794,1.0
0.0,0.7589858,1.0
1.0,0.98177874,1.0
0.0,0.1586499,0.0
1.0,0.96651846,1.0
0.0,0.0072542904,0.0
0.0,0.019189585,0.0
1.0,0.44359636,0.0
0.0,0.024921285,0.0
0.0,0.065839775,0.0
1.0,0.99890184,1.0
0.0,0.3366814,0.0
0.0,0.018363066,0.0
0.0,0.40965036,0.0
0.0,0.24319622,0.0
0.0,0.18624988,0.0
1.0,0.9215904,1.0
0.0,0.43643808,0.0
1.0,0.7459779,1.0
0.0,0.8654321,1.0
0.0,0.23092766,0.0
1.0,0.07019561,0.0
0.0,0.0029758546,0.0
0.0,0.0064126444,0.0
0.0,0.31275818,0.0
0.0,0.13375252,0.0
1.0,0.6245742,1.0
0.0,0.041243132,0.0
0.0,0.0057745515,0.0
0.0,0.16433379,0.0
0.0,0.0025780764,0.0
1.0,0.8559405,1.0
0.0,0.006371016,0.0
0.0,0.0077501046,0.0
0.0,0.060420103,0.0
1.0,0.091554195,0.0
1.0,0.9875565,1.0
0.0,0.022323122,0.0
0.0,0.013727561,0.0
0.0,0.027362868,0.0
1.0,0.98552126,1.0
0.0,0.25481966,0.0
0.0,0.32190368,0.0
1.0,0.9998957,1.0
1.0,0.9543143,1.0
1.0,0.5813152,1.0
0.0,0.46022463,0.0
1.0,0.4297361,0.0
0.0,0.32985467,0.0
0.0,0.16680343,0.0
1.0,0.9490167,1.0
1.0,0.9295903,1.0
1.0,0.95101094,1.0
0.0,0.008588063,0.0
0.0,0.025684448,0.0
0.0,0.1261775,0.0
0.0,0.028167982,0.0
1.0,0.87949616,1.0
0.0,0.16898145,0.0
1.0,0.99677974,1.0
1.0,0.99925715,1.0
0.0,0.0061519807,0.0
1.0,0.99973494,1.0
1.0,0.9962423,1.0
1.0,0.984772,1.0
1.0,0.7702553,1.0
1.0,0.9624769,1.0
0.0,0.1346529,0.0
1.0,0.31231117,0.0
1.0,0.9063656,1.0
1.0,0.8981827,1.0
