Molecule ChEMBL ID,Smiles,Standard Type,MIC,Units
CHEMBL1086385,CCCCCCCC[C@@H](C)C(=O)N1CCC[C@H]1C(=O)N[C@@H](C[C@H](C)C[C@H](O)CC(=O)CC)C(=O)NC(C)(C)C(=O)NC(C)(C)C(=O)N[C@H](C(=O)N[C@H](C(=O)NC(C)(C)C(=O)NC(C)(C)C(=O)N[C@@H](C)CN(C)CCO)C(C)C)[C@@H](C)CC,MIC,0.12,ug.mL-1
CHEMBL1086383,CCCCCCCC[C@@H](C)C(=O)N1CCC[C@H]1C(=O)N[C@@H](C[C@H](C)C/C=C/C(=O)CC)C(=O)NC(C)(C)C(=O)NC(C)(C)C(=O)N[C@H](C(=O)N[C@H](C(=O)NC(C)(C)C(=O)NC(C)(C)C(=O)N[C@@H](C)CN(C)CCO)C(C)C)[C@@H](C)CC,MIC,2.0,ug.mL-1
CHEMBL225164,Oc1ccc(Cl)c2cccnc12,MIC,0.125,ug.mL-1
CHEMBL497,Oc1c(I)cc(Cl)c2cccnc12,MIC,6.25,ug.mL-1
CHEMBL4061841,NC(=O)C1CCN(Cc2c(-c3ccccc3)[nH]c3ccnc(Cl)c23)CC1,MIC,25.0,ug.mL-1
CHEMBL244579,COc1ccc(Nc2nc(Nc3ccc(OC)cc3)nc(Nc3ccc(OC)cc3)n2)cc1,MIC,6.25,ug.mL-1
CHEMBL1210949,COc1c(N2CCCC(N(C)CCN3C(=O)/C(=N\NC(N)=S)c4cc(F)ccc43)C2)ccc2c(=O)c(C(=O)O)cn(C3CC3)c12,MIC,4.0,ug.mL-1
CHEMBL251721,Cn1c([N+](=O)[O-])cnc1C#Cc1ccnc(N)n1,MIC,16.0,ug.mL-1
CHEMBL268316,CN1C(NNC(=O)c2ccc(-c3ccccc3[N+](=O)[O-])o2)=NS(=O)(=O)c2ccccc21,MIC,100.0,ug.mL-1
CHEMBL400938,O=[N+]([O-])c1ccc(/C=N\NC2=NS(=O)(=O)c3ccccc3N2c2ccccc2)o1,MIC,1.0,ug.mL-1
CHEMBL1255053,CCCCCOc1ccc(/C=C/c2cc(/C=C/c3ccc(O)c(OC)c3)on2)cc1OC,MIC,1.25,ug.mL-1
CHEMBL1253790,CCCCCOc1ccc(/C=C/c2cc(/C=C/c3ccc(O)c(OC)c3)no2)cc1OC,MIC,6.25,ug.mL-1
