all_mcc,all_acc,all_auc,all_f1,all_pre,all_se,all_sp,all_Youden_Index
0.474679558,0.736677116,0.811793805,0.701067616,0.768031189,0.6448,0.8211,0.467400908
0.468976811,0.73354232,0.810950863,0.695340502,0.768316832,0.635,0.8241,0.476381625
0.435373301,0.717084639,0.798157833,0.676233184,0.748015873,0.617,0.809,0.448250741
