,C,C,C,C,C,O,C,O,C,C,C,C,C@H,C@@H,C,C,C@@,C,C,C,c,c,c,<UNK>,c,N,c,C,O,O,C,C,C,C@H,C,C,N,C,C@@H
C,0.0017237636,0.0017382992,0.0017485905,0.0017243747,0.0016852054,0.013961709,0.0016847692,0.014224535,0.0017167648,0.0016835765,0.0016703623,0.0016704124,0.078402184,0.04689986,0.0017230046,0.0017178963,0.06341044,0.0016564111,0.0016518412,0.001654443,0.002387255,0.00240637,0.0023925153,0.006149084,0.0023798768,0.031711448,0.0024011938,0.0016539446,0.014175682,0.013902291,0.0017086777,0.0016773713,0.0016412039,0.07965502,0.0016521472,0.0016547225,0.0298792,0.0016889127,0.049136855
C@H,0.0017269094,0.0017594463,0.0017747384,0.0017371267,0.0017234453,0.025367398,0.0017247413,0.025610005,0.0017881042,0.0018230198,0.0018060675,0.0017986479,0.052621044,0.034986388,0.0017957393,0.0018068776,0.069000095,0.001825866,0.0018265519,0.0018054303,0.0009919046,0.0009949659,0.0009938783,0.0017991706,0.0009900235,0.07143253,0.0009869377,0.0017847555,0.025348663,0.0249046,0.0017777482,0.001774554,0.0017545887,0.05316331,0.0017416616,0.0017432512,0.06839098,0.001789164,0.03602665
C@@H,0.0033735435,0.0033419274,0.0033328026,0.0033254037,0.003280203,0.050772227,0.0034601176,0.051611513,0.0033706885,0.0033788967,0.0033476492,0.0033407563,0.0187055,0.039608385,0.0033896982,0.0033853687,0.011234333,0.003413961,0.0033260705,0.0032863207,0.0037561157,0.0037880398,0.0037838328,0.010583991,0.003793628,0.07662967,0.0038188114,0.0034232272,0.051585753,0.05048492,0.0034334548,0.0034592345,0.003438856,0.018830396,0.0034252775,0.0034415738,0.07099303,0.0034141534,0.04163556
C,0.0016817204,0.0016963012,0.0017060633,0.001681478,0.0016445379,0.013488153,0.0016412684,0.0137356585,0.0016769074,0.0016446264,0.0016315158,0.0016318393,0.07858473,0.046914216,0.0016833729,0.0016793389,0.06397929,0.0016230518,0.0016178656,0.001618077,0.0022749023,0.0022928917,0.0022802663,0.005948325,0.0022685458,0.03488895,0.0022873087,0.0016173705,0.013716025,0.013450587,0.0016693014,0.0016391745,0.0016028291,0.07983466,0.0016130874,0.0016171936,0.03277605,0.0016514186,0.049131367
C,0.0016904452,0.0017051328,0.0017148812,0.001689519,0.0016518428,0.013697658,0.0016497963,0.013950659,0.001685453,0.0016518129,0.0016383415,0.0016386756,0.0785021,0.04707127,0.0016913419,0.0016873652,0.06403713,0.0016302462,0.0016243497,0.0016240185,0.0022615837,0.0022801158,0.0022676296,0.006017561,0.0022558947,0.03515566,0.0022752678,0.0016241797,0.013933137,0.013660521,0.0016773826,0.0016469493,0.001609863,0.07974973,0.0016201746,0.001624266,0.0330146,0.0016584145,0.049305573
C@@,0.0043763826,0.0043703956,0.004370037,0.0043490105,0.0043193214,0.024461376,0.0044241566,0.024674013,0.00437866,0.0043906826,0.0043654954,0.004353549,0.028255157,0.04863698,0.004415329,0.0044201505,0.014549681,0.004466179,0.00444392,0.0043903207,0.004673805,0.0047260784,0.0046879253,0.008506416,0.0046422873,0.07273303,0.004724463,0.0044478173,0.024371669,0.02400091,0.004384558,0.0044134613,0.0044055204,0.028478863,0.004402882,0.004420126,0.07089856,0.004409568,0.04930215
C,0.0016945543,0.0017084563,0.0017177664,0.0016930378,0.001656035,0.013086916,0.001653325,0.013325781,0.0016896205,0.0016567475,0.0016437261,0.0016442672,0.07863813,0.04758712,0.0016968627,0.0016929938,0.06361799,0.0016356627,0.0016294173,0.0016299906,0.0023165483,0.00233476,0.0023221741,0.0058986587,0.0023107112,0.03596613,0.0023300254,0.0016306501,0.0132986745,0.013043902,0.0016826087,0.0016530269,0.0016162414,0.07989442,0.0016265198,0.0016301415,0.03375913,0.0016634995,0.04985127
C,0.0017193918,0.001733759,0.0017436676,0.0017184147,0.0016793334,0.013844949,0.0016789589,0.014103596,0.001714183,0.0016802297,0.0016667786,0.0016670703,0.07851779,0.046543665,0.0017200073,0.001715666,0.06382249,0.0016552762,0.0016484247,0.0016495327,0.0023336546,0.0023529192,0.0023395866,0.006035163,0.0023273833,0.034139045,0.0023490177,0.0016520945,0.014069567,0.013794567,0.0017059455,0.0016756442,0.0016384281,0.07978488,0.0016492808,0.0016521745,0.032111246,0.0016857006,0.048769314
C,0.0017443873,0.0017599055,0.0017707702,0.0017448112,0.001703508,0.014315328,0.0017050455,0.014586717,0.0017389917,0.0017037181,0.0016900596,0.0016900343,0.078554295,0.045945734,0.0017437681,0.0017391914,0.065063216,0.0016763274,0.001669741,0.0016706822,0.0023276117,0.0023474062,0.0023338872,0.0061259293,0.0023212933,0.032109477,0.0023434132,0.0016737462,0.014548802,0.014258762,0.0017294828,0.0016984049,0.0016605176,0.07984178,0.0016717061,0.0016743614,0.030261045,0.0017083565,0.048166253
c,0.00458485,0.0046934094,0.0047849086,0.0047645145,0.0045244847,0.036805097,0.0044435514,0.03807125,0.0043968405,0.0042964094,0.0043085744,0.0042887996,0.07131512,0.018904025,0.004326932,0.004317919,0.11154565,0.004172725,0.0041616564,0.004127392,0.0023728271,0.0024033547,0.002398484,0.0039528483,0.0023933633,0.005769069,0.002414886,0.00427482,0.037031975,0.036043633,0.0043855347,0.004298006,0.0042121536,0.07251127,0.0042645833,0.0043241736,0.0058932565,0.0043430836,0.01993394
