,S,O,O,O,N,C,O,C@@,N,C,O,C,N,O,C,C,O,O,C,C,c,n,c,N,s,c,C@@,C
O,0.016210906,0.003165986,0.0031080616,0.0031107746,0.0014900038,0.0039929855,0.0031232075,0.060427837,0.0014765625,0.0041707023,0.0032011548,0.0041870144,0.0015306423,0.0031786452,0.004469694,0.004350867,0.003094415,0.0031064881,0.004293564,0.0042090663,0.0014525191,0.12321691,0.0014196724,0.001519017,0.19174832,0.001389768,0.061888535,0.004147009
O,0.016203076,0.0031624753,0.0031048015,0.0031076127,0.0014790748,0.003975481,0.0031204016,0.060450133,0.0014658414,0.00415235,0.0031984367,0.0041679004,0.0015197222,0.003175974,0.004449105,0.0043306407,0.0030918599,0.0031038742,0.004273832,0.004190333,0.0014497613,0.123215854,0.001417127,0.0015082677,0.19160922,0.0013871329,0.061934296,0.0041291425
C,0.05286239,0.001535833,0.0015217904,0.0015328388,0.0024768095,0.00048108294,0.0015190165,0.06361826,0.0024520701,0.0005016327,0.0015399512,0.00049575744,0.002567289,0.001596437,0.00052711956,0.0005108594,0.0015485153,0.0015622602,0.0005051217,0.00050762855,0.0010126928,0.12001472,0.0010227545,0.0025230397,0.13703328,0.001024745,0.066545725,0.00050332234
C,0.05416039,0.0015159966,0.0015020567,0.0015131154,0.0025472417,0.0004706373,0.001499294,0.06362426,0.0025210888,0.0004907561,0.0015196765,0.0004851249,0.0026390413,0.0015757132,0.0005157208,0.00049983186,0.0015285535,0.001542236,0.0004941928,0.0004966416,0.0010098321,0.11976867,0.0010198916,0.0025930018,0.13520926,0.0010222242,0.066551134,0.0004923073
c,0.073714845,0.0014692099,0.001453524,0.00146348,0.0012300402,0.0018872736,0.0014579325,0.06153683,0.0012051009,0.0019977975,0.0014947887,0.00197611,0.0012722259,0.0015233487,0.002120296,0.0020720542,0.0014899914,0.0014992869,0.002044714,0.0019892529,0.00062122423,0.12374791,0.00062154094,0.0012531998,0.17636546,0.0006158416,0.06404899,0.0019496738
n,0.062422507,0.007237324,0.007129563,0.0071446807,0.0298915,0.0035010541,0.0071195518,0.036633246,0.029661417,0.0035467963,0.007161279,0.0035245868,0.030178033,0.0071975533,0.0035396104,0.0034890901,0.0070662047,0.007163675,0.003568375,0.003573767,0.0050090197,0.024588792,0.005007806,0.02936644,0.10523997,0.0049943062,0.03502814,0.0034870778
c,0.07224204,0.0014757477,0.0014603586,0.0014704553,0.0011983691,0.0019090787,0.0014645857,0.06157522,0.0011740164,0.002020646,0.0015013745,0.001998741,0.0012401113,0.0015307838,0.0021455165,0.0020966234,0.0014973874,0.0015067471,0.002068623,0.0020126866,0.0006217372,0.12384238,0.0006220774,0.001221746,0.17780708,0.0006164541,0.06405826,0.0019734325
N,0.04492227,0.00858085,0.008516166,0.0085205585,0.012360523,0.0006271253,0.008429611,0.038986012,0.012193095,0.0006357637,0.008471684,0.0006442091,0.011963434,0.008787674,0.0006630945,0.0006514251,0.008522191,0.008639002,0.00064355583,0.00065773306,0.0028613496,0.07905025,0.0028446338,0.012354247,0.15662363,0.0028411353,0.03972558,0.00065218704
s,0.12571728,0.0038046814,0.003768311,0.0037832332,0.03756172,0.0045594205,0.0037716837,0.01948372,0.03697477,0.004598794,0.0037736928,0.0046540713,0.038030487,0.0038025083,0.004707086,0.004678575,0.0038028471,0.0038173478,0.004734105,0.0047734804,0.0036580272,0.05196012,0.0036393616,0.036417812,0.015373522,0.0036296325,0.018670455,0.0046386635
c,0.07267999,0.0014778991,0.0014623344,0.0014722819,0.0011869158,0.0019042864,0.0014668069,0.061464917,0.0011627845,0.0020160482,0.0015038888,0.0019941498,0.001229016,0.0015326848,0.0021400906,0.0020914776,0.0014994331,0.0015086506,0.0020636828,0.0020076593,0.0006201028,0.12387108,0.00062033423,0.0012110055,0.17726323,0.0006146173,0.06400444,0.0019675714
C@@,0.083334036,0.0050097383,0.00497239,0.0049798223,0.035799738,0.0033666694,0.0050081615,0.037249085,0.034994546,0.0033873678,0.005000504,0.0034298038,0.03583863,0.0050390703,0.0034858708,0.0034446062,0.0050200266,0.0050510927,0.0034690206,0.0035470612,0.0028913822,0.008579276,0.0028537647,0.034396704,0.068774655,0.0028545193,0.03627438,0.0034745827
C,0.055837046,0.0015421622,0.0015272574,0.0015383936,0.0024433422,0.00046426294,0.0015249139,0.063545786,0.0024175262,0.0004842331,0.0015465195,0.0004785266,0.002531988,0.0016022588,0.00050865515,0.0004930292,0.0015546335,0.0015688178,0.00048753375,0.0004897907,0.0010000468,0.120082416,0.0010098947,0.002486182,0.13655427,0.0010122879,0.066424094,0.0004856221
