,S,C,C,C,c,n,c,N,C@,C@,c,c,c,F,c,F,c,c,C,c,n,n,n,C@,C@,O,C@,O,C@@,O,C,C,O,C,c,n
F,0.010139927,0.0065459167,0.006495553,0.006437428,0.0073391097,0.015654463,0.007360026,0.10336194,0.046819557,0.04669173,0.007233423,0.007372101,0.0074374494,0.025152305,0.0073099877,0.025157977,0.0071939975,0.0071822745,0.006394865,0.0071815243,0.0155229885,0.015492038,0.015421649,0.046697985,0.046610985,0.008161329,0.047691092,0.0083157085,0.036490694,0.008059323,0.0065873805,0.0065520406,0.00814628,0.0065668626,0.0071380013,0.015923247
c,0.026811892,0.00048478198,0.0004918146,0.0005011763,0.0015439818,0.05771854,0.001463141,0.0033183722,0.07771911,0.0782902,0.0014211888,0.0014889942,0.0015444213,0.0613916,0.0015027239,0.060819842,0.0014565778,0.0014690781,0.00047653282,0.0014906132,0.059303243,0.058413785,0.057707336,0.07692213,0.07844292,0.023544658,0.078314126,0.023393728,0.019758888,0.023446029,0.00045765415,0.0004614647,0.02356018,0.00046201443,0.001448153,0.061585527
F,0.010215063,0.006468613,0.0064182,0.006359955,0.0072450833,0.015636668,0.00726492,0.10375273,0.04756836,0.047436703,0.007141345,0.0072776317,0.0073421034,0.025209496,0.007218299,0.025210768,0.0071048997,0.0070934095,0.006318026,0.007090086,0.015503563,0.015472341,0.015402214,0.047441684,0.047358535,0.008181659,0.048454165,0.008335815,0.03680147,0.008077654,0.006509096,0.0064737266,0.0081659015,0.0064887,0.007048471,0.015903693
c,0.026865685,0.00047276582,0.00047983977,0.00048915244,0.0015391326,0.057572585,0.0014581833,0.003254281,0.07756774,0.078150295,0.001416776,0.0014846032,0.0015399419,0.061786175,0.001497485,0.061211087,0.0014524629,0.0014653957,0.00046569156,0.001488259,0.059204042,0.058300123,0.05759003,0.07674157,0.07828262,0.023554385,0.07819359,0.023405371,0.020271093,0.023464499,0.00044723085,0.0004507694,0.023566341,0.00045060844,0.0014437381,0.061449938
c,0.027081339,0.00048358392,0.00049073406,0.0005001659,0.0015553209,0.05765609,0.0014740617,0.0033047143,0.07736178,0.07795214,0.0014323301,0.0015001611,0.0015556802,0.061635748,0.0015134288,0.06106133,0.0014684976,0.0014816561,0.00047634024,0.0015045315,0.059287433,0.05838742,0.057679396,0.07654076,0.078083426,0.023552764,0.0779885,0.023399625,0.020090017,0.023455039,0.00045758352,0.00046114306,0.0235527,0.0004610834,0.0014597463,0.06153559
C,0.0058833985,0.00031629534,0.0003207819,0.00032654672,0.0016392098,0.06879482,0.0015564547,0.004760257,0.09050307,0.09169363,0.0015388435,0.0015884931,0.0016254175,0.024658252,0.0015661669,0.024555054,0.0015605579,0.0015836041,0.00031455193,0.0016070596,0.07270162,0.071485005,0.07028563,0.08564383,0.08682249,0.021194628,0.087059185,0.021615708,0.016845226,0.021454357,0.00030643377,0.00030763645,0.021481965,0.0003042806,0.0015323501,0.074555784
c,0.026905287,0.0004975316,0.0005048907,0.000514603,0.0015684245,0.057787087,0.0014867327,0.0033427624,0.077138305,0.07771829,0.0014452161,0.0015128988,0.0015682569,0.061765157,0.0015267401,0.06119007,0.0014812463,0.0014944924,0.00048999215,0.001516806,0.059382748,0.05849388,0.057785712,0.076270826,0.07779869,0.023587985,0.07773307,0.023435058,0.019884724,0.02348358,0.0004709577,0.00047470114,0.02358177,0.00047460088,0.0014728935,0.061677482
n,0.0055641965,0.012375816,0.012274267,0.012239564,0.013644167,0.016627051,0.013696365,0.012967655,0.030187156,0.030093422,0.013640389,0.013586594,0.013591932,0.021959955,0.013486707,0.021924099,0.013516161,0.013499195,0.012618011,0.013362761,0.01640582,0.01635526,0.016225146,0.029830743,0.029890183,0.012539583,0.031121746,0.01284133,0.045504037,0.012675863,0.012653205,0.0126211755,0.012792164,0.012721717,0.013462782,0.016913546
n,0.0055588456,0.012401471,0.012299204,0.012263919,0.013604393,0.016616225,0.013657085,0.0130323665,0.03017501,0.03007942,0.013600428,0.013547667,0.01355323,0.021995164,0.013445885,0.021960383,0.013474732,0.013458094,0.012644142,0.0133248875,0.016394801,0.016343985,0.016213859,0.029822132,0.029882267,0.012547749,0.031115916,0.012847539,0.045597773,0.012682367,0.01268031,0.012648091,0.012799153,0.012748355,0.013422992,0.016901914
n,0.0055395896,0.012405513,0.012302857,0.012267556,0.013611425,0.01661938,0.0136636235,0.013097753,0.030270161,0.030172534,0.013605416,0.013554023,0.013560388,0.022079969,0.013451379,0.022044491,0.013478315,0.013462416,0.012648623,0.013331064,0.01639279,0.016342388,0.016212376,0.029914565,0.0299749,0.012523048,0.031216875,0.012819335,0.04569212,0.012655207,0.012683985,0.012652041,0.012772546,0.012752667,0.013426203,0.016903572
