nhead,d_model,dim_feedforward,dropout,num_layers,layerdrop,value
4,256,256,0.4,3,0.2,0.23078396860669606
8,128,1024,0.4,2,0.3,0.2197847580263676
2,128,512,0.1,6,0.2,0.3438367659176515
2,128,256,0.4,4,0.1,0.20897708012355057
8,256,512,0.3,6,0.3,0.2689680570817704
2,256,512,0.1,2,0.2,0.353444000984272
4,256,1024,0.1,6,0.3,0.3539715549024042
2,128,1024,0.2,2,0.3,0.2729078874305532
8,64,512,0.4,3,0.3,0.17893539157520572
2,256,512,0.4,6,0.3,0.22699101675188005
4,64,1024,0.1,4,0.1,0.31307992429765774
4,256,1024,0.1,2,0.2,0.3586570711319631
4,256,1024,0.1,2,0.2,
4,256,1024,0.1,6,0.2,0.3816972859169847
4,256,1024,0.2,6,0.2,0.3375307144683153
4,256,1024,0.3,2,0.2,0.2648958865209181
4,64,256,0.1,4,0.2,0.2898657776691275
4,256,1024,0.1,3,0.2,0.3751817039448664
4,256,1024,0.1,3,0.1,0.38151384397869637
4,64,1024,0.2,3,0.1,0.24972680605116962
8,256,256,0.3,3,0.1,0.29615267997210637
4,256,1024,0.1,3,0.1,
4,256,1024,0.1,3,0.1,
4,256,1024,0.1,3,0.2,
4,256,1024,0.1,3,0.2,
4,256,1024,0.1,6,0.1,0.39700697149245207
4,256,1024,0.1,6,0.1,
4,256,1024,0.1,6,0.1,
4,64,1024,0.3,6,0.1,0.21762222054449626
8,128,256,0.2,6,0.1,0.29876742054277317
4,256,256,0.1,6,0.1,0.40580757110859933
4,256,256,0.1,6,0.1,
4,256,256,0.1,6,0.1,
4,256,256,0.1,6,0.1,
4,128,256,0.1,6,0.1,0.3663690399012086
8,256,256,0.4,4,0.1,0.2526117635885868
2,256,512,0.1,6,0.1,0.3946454613420356
2,128,512,0.1,6,0.1,0.3792453541813211
2,256,512,0.3,6,0.1,0.30578483526290323
2,256,512,0.4,6,0.3,
2,128,512,0.1,6,0.2,
2,256,512,0.1,6,0.1,
2,256,512,0.1,6,0.1,
4,256,1024,0.1,4,0.1,0.3973545760024899
8,256,1024,0.1,4,0.3,0.37099797788771743
2,256,512,0.1,4,0.1,0.3743863785220295
4,256,1024,0.2,4,0.1,0.3231011388271236
4,64,256,0.4,4,0.3,0.18123739900989758
4,256,1024,0.1,2,0.2,
2,256,512,0.1,6,0.1,
