y,probs,preds
1.0,0.38336635,0.0
0.0,0.30765697,0.0
1.0,0.9133555,1.0
0.0,0.03737185,0.0
1.0,0.9345488,1.0
0.0,0.20903221,0.0
1.0,0.8790104,1.0
0.0,0.0064392923,0.0
0.0,0.16717598,0.0
1.0,0.5716353,1.0
0.0,0.2508539,0.0
0.0,0.16943496,0.0
1.0,0.3736628,0.0
1.0,0.8108054,1.0
0.0,0.17040163,0.0
1.0,0.91208816,1.0
0.0,0.08325381,0.0
0.0,0.06189604,0.0
1.0,0.893937,1.0
1.0,0.8128769,1.0
1.0,0.55022323,1.0
1.0,0.97322094,1.0
0.0,0.038616206,0.0
0.0,0.07220552,0.0
1.0,0.83907646,1.0
1.0,0.06864709,0.0
0.0,0.16773115,0.0
0.0,0.8322773,1.0
0.0,0.10285198,0.0
1.0,0.15009946,0.0
0.0,0.22511476,0.0
0.0,0.47766253,0.0
0.0,0.067436345,0.0
1.0,0.80257016,1.0
0.0,0.036382448,0.0
1.0,0.8962928,1.0
0.0,0.3021272,0.0
0.0,0.3201481,0.0
0.0,0.07947965,0.0
0.0,0.12681486,0.0
1.0,0.9423227,1.0
0.0,0.48558712,0.0
0.0,0.036158215,0.0
1.0,0.99217504,1.0
0.0,0.14615245,0.0
1.0,0.2395022,0.0
0.0,0.3260784,0.0
1.0,0.99007493,1.0
0.0,0.14007187,0.0
0.0,0.34594533,0.0
0.0,0.10715957,0.0
1.0,0.17747039,0.0
1.0,0.9979779,1.0
0.0,0.19652307,0.0
0.0,0.17495184,0.0
0.0,0.3699033,0.0
1.0,0.9961927,1.0
1.0,0.51747257,1.0
0.0,0.24576885,0.0
1.0,0.99552464,1.0
1.0,0.9484541,1.0
0.0,0.081262514,0.0
0.0,0.181999,0.0
1.0,0.8987746,1.0
0.0,0.72697246,1.0
0.0,0.4165181,0.0
1.0,0.6658447,1.0
0.0,0.07660138,0.0
1.0,0.99719703,1.0
1.0,0.86581784,1.0
1.0,0.567599,1.0
1.0,0.6827875,1.0
0.0,0.076531045,0.0
1.0,0.41324836,0.0
0.0,0.09296597,0.0
0.0,0.32950976,0.0
1.0,0.15991339,0.0
0.0,0.114034556,0.0
0.0,0.010469293,0.0
0.0,0.1899157,0.0
0.0,0.3603795,0.0
0.0,0.9880801,1.0
1.0,0.7901328,1.0
0.0,0.08764113,0.0
1.0,0.9260783,1.0
0.0,0.106686875,0.0
0.0,0.10536832,0.0
0.0,0.35647136,0.0
0.0,0.25037342,0.0
1.0,0.55526114,1.0
1.0,0.27324167,0.0
1.0,0.9433585,1.0
0.0,0.004420583,0.0
0.0,0.03100732,0.0
1.0,0.15303832,0.0
1.0,0.5202913,1.0
1.0,0.9616827,1.0
0.0,0.13485707,0.0
1.0,0.18836786,0.0
1.0,0.20464684,0.0
0.0,0.070519134,0.0
1.0,0.24205413,0.0
0.0,0.29355714,0.0
0.0,0.5228663,1.0
0.0,0.032230373,0.0
1.0,0.8975115,1.0
0.0,0.7783759,1.0
1.0,0.26237455,0.0
0.0,0.14714006,0.0
0.0,0.20385177,0.0
0.0,0.06650255,0.0
1.0,0.5342885,1.0
0.0,0.0043684007,0.0
0.0,0.13003673,0.0
1.0,0.8366869,1.0
1.0,0.2723059,0.0
0.0,0.64798415,1.0
0.0,0.5179161,1.0
0.0,0.28826308,0.0
0.0,0.1465287,0.0
0.0,0.3891722,0.0
1.0,0.7515949,1.0
0.0,0.29085708,0.0
1.0,0.6177326,1.0
0.0,0.34016392,0.0
1.0,0.99580055,1.0
1.0,0.77401555,1.0
1.0,0.63136137,1.0
0.0,0.28876147,0.0
0.0,0.04933795,0.0
1.0,0.6068046,1.0
1.0,0.80939174,1.0
1.0,0.18716805,0.0
0.0,0.22271939,0.0
0.0,0.05535365,0.0
0.0,0.039187144,0.0
0.0,0.21704268,0.0
0.0,0.13779366,0.0
0.0,0.12067578,0.0
1.0,0.86112565,1.0
1.0,0.4839726,0.0
0.0,0.09394004,0.0
0.0,0.34907055,0.0
1.0,0.9783358,1.0
0.0,0.062721446,0.0
0.0,0.42924803,0.0
0.0,0.024346462,0.0
0.0,0.05266066,0.0
1.0,0.9877786,1.0
0.0,0.22943811,0.0
1.0,0.9938539,1.0
1.0,0.972774,1.0
0.0,0.36403543,0.0
0.0,0.20968595,0.0
0.0,0.09851698,0.0
1.0,0.31294063,0.0
0.0,0.29755154,0.0
0.0,0.49763983,0.0
1.0,0.18914525,0.0
0.0,0.05671085,0.0
0.0,0.03273889,0.0
1.0,0.9941088,1.0
0.0,0.19951539,0.0
0.0,0.10596279,0.0
1.0,0.7322465,1.0
1.0,0.9637894,1.0
0.0,0.040980425,0.0
0.0,0.012634244,0.0
0.0,0.7445001,1.0
0.0,0.15192533,0.0
0.0,0.8147424,1.0
1.0,0.18334842,0.0
1.0,0.7787197,1.0
1.0,0.98277134,1.0
0.0,0.2135771,0.0
0.0,0.4986192,0.0
0.0,0.4191058,0.0
1.0,0.4876106,0.0
1.0,0.6432377,1.0
1.0,0.9092075,1.0
0.0,0.42966494,0.0
0.0,0.061024375,0.0
1.0,0.99484056,1.0
1.0,0.8464089,1.0
0.0,0.33722955,0.0
0.0,0.14649977,0.0
1.0,0.6688508,1.0
0.0,0.09339011,0.0
0.0,0.11511257,0.0
0.0,0.21198064,0.0
0.0,0.16898699,0.0
1.0,0.8083241,1.0
0.0,0.23500814,0.0
0.0,0.22625184,0.0
1.0,0.8461872,1.0
1.0,0.67239225,1.0
0.0,0.7734965,1.0
1.0,0.81361103,1.0
0.0,0.10001978,0.0
1.0,0.97553796,1.0
0.0,0.29762232,0.0
1.0,0.870218,1.0
1.0,0.33533666,0.0
0.0,0.15480742,0.0
0.0,0.72970426,1.0
1.0,0.9623295,1.0
0.0,0.25030965,0.0
0.0,0.082000315,0.0
1.0,0.96470314,1.0
0.0,0.401667,0.0
1.0,0.77007174,1.0
0.0,0.20225857,0.0
1.0,0.44642872,0.0
0.0,0.0791799,0.0
0.0,0.1840364,0.0
0.0,0.3738183,0.0
0.0,0.22265282,0.0
1.0,0.991574,1.0
1.0,0.9913061,1.0
1.0,0.21657379,0.0
0.0,0.05731699,0.0
0.0,0.035995904,0.0
0.0,0.08791182,0.0
0.0,0.13781142,0.0
1.0,0.39971548,0.0
1.0,0.68048143,1.0
0.0,0.0068860855,0.0
0.0,0.06896051,0.0
0.0,0.058606192,0.0
1.0,0.9665509,1.0
0.0,0.23676431,0.0
1.0,0.72004586,1.0
1.0,0.8438307,1.0
1.0,0.22319889,0.0
0.0,0.2807356,0.0
0.0,0.80978614,1.0
1.0,0.76914227,1.0
0.0,0.35945436,0.0
0.0,0.3033223,0.0
1.0,0.456179,0.0
0.0,0.07495563,0.0
1.0,0.5829538,1.0
0.0,0.050800912,0.0
1.0,0.54126316,1.0
1.0,0.5870875,1.0
0.0,0.35818455,0.0
1.0,0.55352306,1.0
1.0,0.19915572,0.0
1.0,0.42601445,0.0
0.0,0.25990152,0.0
1.0,0.7651988,1.0
0.0,0.40319937,0.0
1.0,0.6818105,1.0
0.0,0.67817396,1.0
1.0,0.36444655,0.0
0.0,0.120265596,0.0
1.0,0.3174572,0.0
1.0,0.99487805,1.0
0.0,0.13938312,0.0
0.0,0.57712394,1.0
0.0,0.14841619,0.0
0.0,0.097989045,0.0
0.0,0.13779114,0.0
0.0,0.12877087,0.0
1.0,0.94923973,1.0
0.0,0.23895817,0.0
0.0,0.23345043,0.0
0.0,0.23114946,0.0
1.0,0.7986281,1.0
1.0,0.6000879,1.0
0.0,0.048103943,0.0
1.0,0.18866907,0.0
0.0,0.1437168,0.0
0.0,0.007797993,0.0
1.0,0.8548532,1.0
0.0,0.07636227,0.0
0.0,0.028120175,0.0
1.0,0.94922554,1.0
1.0,0.961501,1.0
1.0,0.9980996,1.0
1.0,0.98754907,1.0
0.0,0.09054598,0.0
1.0,0.96443903,1.0
0.0,0.02911637,0.0
0.0,0.3054234,0.0
1.0,0.19245282,0.0
1.0,0.9982735,1.0
0.0,0.16785337,0.0
0.0,0.09437027,0.0
0.0,0.1556135,0.0
1.0,0.9540123,1.0
1.0,0.9001587,1.0
1.0,0.843205,1.0
1.0,0.25175577,0.0
1.0,0.70611477,1.0
1.0,0.81385344,1.0
0.0,0.014764702,0.0
1.0,0.5698212,1.0
1.0,0.86860126,1.0
0.0,0.1504271,0.0
0.0,0.31839344,0.0
0.0,0.037509248,0.0
1.0,0.84336555,1.0
0.0,0.19250412,0.0
0.0,0.23057419,0.0
0.0,0.3524894,0.0
0.0,0.02463573,0.0
0.0,0.096048824,0.0
1.0,0.8455324,1.0
0.0,0.17770928,0.0
0.0,0.16098043,0.0
1.0,0.9943666,1.0
0.0,0.059628114,0.0
1.0,0.8413264,1.0
0.0,0.05415628,0.0
0.0,0.17702718,0.0
0.0,0.2863789,0.0
1.0,0.9765321,1.0
0.0,0.25166765,0.0
1.0,0.5363686,1.0
1.0,0.4636271,0.0
0.0,0.018690849,0.0
0.0,0.16949275,0.0
1.0,0.4770421,0.0
0.0,0.42719814,0.0
1.0,0.33384144,0.0
1.0,0.994466,1.0
1.0,0.8243032,1.0
1.0,0.86729294,1.0
1.0,0.9536019,1.0
1.0,0.41565138,0.0
0.0,0.08591792,0.0
0.0,0.25206432,0.0
0.0,0.59144944,1.0
0.0,0.64305556,1.0
1.0,0.9596126,1.0
1.0,0.378423,0.0
1.0,0.7036997,1.0
0.0,0.49104914,0.0
0.0,0.15773554,0.0
0.0,0.059766434,0.0
0.0,0.5125292,1.0
0.0,0.049494334,0.0
1.0,0.8884628,1.0
0.0,0.30634153,0.0
1.0,0.9906799,1.0
0.0,0.037081502,0.0
0.0,0.31539437,0.0
0.0,0.1964656,0.0
0.0,0.11454397,0.0
1.0,0.9685281,1.0
1.0,0.68863153,1.0
0.0,0.14824265,0.0
1.0,0.40404364,0.0
1.0,0.99572045,1.0
1.0,0.13594836,0.0
0.0,0.097513705,0.0
0.0,0.22531456,0.0
1.0,0.7808324,1.0
0.0,0.10792502,0.0
0.0,0.20614807,0.0
0.0,0.06792494,0.0
1.0,0.7936778,1.0
1.0,0.63232994,1.0
1.0,0.74496955,1.0
0.0,0.2939287,0.0
0.0,0.10145989,0.0
1.0,0.94830483,1.0
1.0,0.9077415,1.0
0.0,0.04299597,0.0
0.0,0.5877633,1.0
0.0,0.5834569,1.0
1.0,0.77788645,1.0
0.0,0.2658171,0.0
0.0,0.1032685,0.0
0.0,0.08611205,0.0
0.0,0.14269856,0.0
0.0,0.3813557,0.0
1.0,0.9063827,1.0
0.0,0.24820775,0.0
1.0,0.98093545,1.0
0.0,0.42038468,0.0
0.0,0.09099796,0.0
0.0,0.07337142,0.0
1.0,0.7300808,1.0
0.0,0.2567491,0.0
1.0,0.4507452,0.0
0.0,0.0132920295,0.0
1.0,0.9974437,1.0
1.0,0.9959265,1.0
1.0,0.99770397,1.0
1.0,0.73364943,1.0
1.0,0.9976386,1.0
1.0,0.99389595,1.0
0.0,0.09947684,0.0
0.0,0.7572413,1.0
0.0,0.16443637,0.0
0.0,0.18562886,0.0
1.0,0.83081627,1.0
0.0,0.0782074,0.0
0.0,0.39140123,0.0
1.0,0.9732459,1.0
1.0,0.5788856,1.0
1.0,0.7095898,1.0
1.0,0.81227636,1.0
1.0,0.2911342,0.0
1.0,0.996825,1.0
1.0,0.05130813,0.0
1.0,0.9012317,1.0
0.0,0.030562274,0.0
0.0,0.3737108,0.0
0.0,0.06406603,0.0
1.0,0.9973974,1.0
1.0,0.5871279,1.0
1.0,0.45533022,0.0
0.0,0.07578542,0.0
1.0,0.64945596,1.0
0.0,0.0068156836,0.0
1.0,0.90238124,1.0
1.0,0.40174526,0.0
0.0,0.12235807,0.0
0.0,0.2202535,0.0
0.0,0.35431442,0.0
0.0,0.063124746,0.0
0.0,0.13831566,0.0
1.0,0.9944711,1.0
0.0,0.4381049,0.0
0.0,0.590521,1.0
0.0,0.1647628,0.0
1.0,0.17337212,0.0
1.0,0.9915159,1.0
0.0,0.58973736,1.0
0.0,0.16409971,0.0
0.0,0.06371892,0.0
1.0,0.97602546,1.0
1.0,0.99033177,1.0
1.0,0.09801341,0.0
1.0,0.5992081,1.0
1.0,0.99819595,1.0
0.0,0.59829056,1.0
0.0,0.5966231,1.0
0.0,0.7383502,1.0
1.0,0.71635646,1.0
1.0,0.97323036,1.0
1.0,0.5177508,1.0
1.0,0.8196556,1.0
0.0,0.38281086,0.0
0.0,0.16114035,0.0
0.0,0.028506478,0.0
0.0,0.13647532,0.0
1.0,0.68596023,1.0
1.0,0.8341189,1.0
0.0,0.5184155,1.0
1.0,0.99488753,1.0
0.0,0.29552925,0.0
1.0,0.4227627,0.0
1.0,0.99365354,1.0
1.0,0.7851145,1.0
1.0,0.7997251,1.0
1.0,0.2554303,0.0
1.0,0.7238057,1.0
0.0,0.28990793,0.0
1.0,0.5675956,1.0
1.0,0.98440707,1.0
0.0,0.08206962,0.0
0.0,0.050328318,0.0
1.0,0.90945715,1.0
0.0,0.41175598,0.0
1.0,0.67892635,1.0
0.0,0.80533206,1.0
0.0,0.11917413,0.0
1.0,0.119940035,0.0
1.0,0.98065156,1.0
1.0,0.35638025,0.0
0.0,0.27969262,0.0
1.0,0.9032632,1.0
0.0,0.078576736,0.0
0.0,0.7589657,1.0
0.0,0.35184807,0.0
1.0,0.98519313,1.0
0.0,0.06680467,0.0
0.0,0.26583627,0.0
1.0,0.8150574,1.0
0.0,0.23131682,0.0
1.0,0.9942168,1.0
0.0,0.0050007585,0.0
0.0,0.7296119,1.0
0.0,0.60417104,1.0
0.0,0.4854326,0.0
0.0,0.15026267,0.0
0.0,0.3572066,0.0
1.0,0.53306013,1.0
1.0,0.14540054,0.0
0.0,0.19289464,0.0
0.0,0.3336952,0.0
1.0,0.97304034,1.0
1.0,0.99757665,1.0
1.0,0.12385339,0.0
1.0,0.4781712,0.0
0.0,0.33027434,0.0
1.0,0.9460475,1.0
0.0,0.16866945,0.0
0.0,0.6232056,1.0
1.0,0.47928697,0.0
0.0,0.14185895,0.0
0.0,0.053539302,0.0
1.0,0.41498107,0.0
0.0,0.37485698,0.0
0.0,0.34812188,0.0
1.0,0.7037244,1.0
0.0,0.441896,0.0
0.0,0.088571884,0.0
0.0,0.13452439,0.0
1.0,0.15218869,0.0
1.0,0.9648214,1.0
0.0,0.079701565,0.0
0.0,0.2541805,0.0
1.0,0.08111708,0.0
0.0,0.24333912,0.0
1.0,0.77317667,1.0
0.0,0.14988899,0.0
1.0,0.53251207,1.0
0.0,0.6214627,1.0
1.0,0.9991093,1.0
1.0,0.8506733,1.0
0.0,0.45842624,0.0
0.0,0.2659572,0.0
0.0,0.11920578,0.0
1.0,0.9797911,1.0
0.0,0.29565677,0.0
1.0,0.15815157,0.0
1.0,0.38259074,0.0
0.0,0.46718612,0.0
1.0,0.49323434,0.0
1.0,0.74156207,1.0
0.0,0.25981382,0.0
1.0,0.2953657,0.0
1.0,0.7091594,1.0
1.0,0.70213145,1.0
1.0,0.8410032,1.0
0.0,0.19305561,0.0
0.0,0.11131819,0.0
0.0,0.43056303,0.0
1.0,0.5541898,1.0
0.0,0.2197909,0.0
0.0,0.18971378,0.0
0.0,0.27690855,0.0
1.0,0.6479422,1.0
1.0,0.998657,1.0
0.0,0.033998534,0.0
0.0,0.084710665,0.0
1.0,0.3920954,0.0
1.0,0.9889042,1.0
1.0,0.65167236,1.0
0.0,0.37226212,0.0
0.0,0.0748774,0.0
0.0,0.047245312,0.0
1.0,0.9960985,1.0
1.0,0.96982914,1.0
1.0,0.20589033,0.0
1.0,0.993828,1.0
1.0,0.52164185,1.0
1.0,0.9136462,1.0
1.0,0.896917,1.0
0.0,0.36267063,0.0
0.0,0.30379745,0.0
1.0,0.9840933,1.0
0.0,0.006833835,0.0
0.0,0.30524185,0.0
0.0,0.4122196,0.0
0.0,0.0809906,0.0
1.0,0.9946069,1.0
0.0,0.36757168,0.0
0.0,0.40875095,0.0
0.0,0.03800173,0.0
0.0,0.54751474,1.0
0.0,0.26770258,0.0
1.0,0.9110521,1.0
0.0,0.07402679,0.0
0.0,0.04268997,0.0
1.0,0.4037651,0.0
0.0,0.27329057,0.0
1.0,0.4224502,0.0
1.0,0.9819457,1.0
1.0,0.5688757,1.0
0.0,0.13151947,0.0
0.0,0.28028852,0.0
0.0,0.58395517,1.0
0.0,0.29875183,0.0
1.0,0.6627654,1.0
1.0,0.50934494,1.0
1.0,0.4372138,0.0
1.0,0.99093413,1.0
1.0,0.93024015,1.0
0.0,0.041952193,0.0
0.0,0.052477915,0.0
1.0,0.92284656,1.0
1.0,0.9371628,1.0
1.0,0.34554398,0.0
0.0,0.35581556,0.0
0.0,0.28249586,0.0
1.0,0.9952543,1.0
1.0,0.9924117,1.0
