nhead,d_model,dim_feedforward,dropout,num_layers,layerdrop,value
2,64,256,0.2,4,0.2,0.24915887725829874
4,64,1024,0.1,2,0.1,0.3113322646522251
4,64,256,0.3,2,0.3,0.2062477056651874
8,128,1024,0.3,6,0.1,0.2587439232548913
8,256,1024,0.4,4,0.2,0.250323344088548
4,128,512,0.4,4,0.2,0.20848009664691264
4,64,1024,0.3,4,0.1,0.21871241126912802
4,64,1024,0.1,2,0.1,
8,64,1024,0.1,6,0.1,0.3255923917920162
2,128,512,0.3,2,0.2,0.23917300372367745
8,256,256,0.1,6,0.3,0.3910172630213462
8,256,256,0.1,6,0.3,
8,256,256,0.1,6,0.3,
8,256,256,0.1,3,0.3,0.3778234565009342
8,256,256,0.2,3,0.3,0.3391768177592175
8,256,256,0.1,3,0.3,
8,256,256,0.1,3,0.3,
2,256,512,0.1,3,0.3,0.36507259380197093
8,256,256,0.4,3,0.3,0.2419576144969092
8,256,256,0.2,6,0.3,0.33956491704633385
2,256,256,0.1,6,0.3,0.3547127253261075
2,256,512,0.1,3,0.3,
2,256,512,0.1,3,0.3,
2,256,512,0.1,3,0.3,
2,256,512,0.1,3,0.3,
8,128,512,0.1,3,0.3,0.3349023928537461
2,256,256,0.1,3,0.3,0.36346752628579104
8,256,512,0.2,6,0.3,0.33189197927366865
8,256,256,0.4,3,0.2,0.24891214707849
2,128,256,0.2,4,0.3,0.2740194566708628
2,256,512,0.1,6,0.2,0.3741917147684872
2,256,512,0.1,6,0.2,
2,256,512,0.1,6,0.2,
2,256,512,0.1,6,0.2,
2,256,512,0.1,2,0.2,0.35624364790483354
4,64,256,0.3,6,0.1,0.21068835916809134
2,256,512,0.1,6,0.2,
4,128,256,0.4,4,0.3,0.2101062931095236
8,64,1024,0.3,2,0.2,0.2051561996464563
8,256,1024,0.1,3,0.1,0.40197551385810054
8,256,1024,0.1,4,0.1,0.4104352092629518
8,256,1024,0.1,4,0.1,
8,256,1024,0.1,4,0.1,
8,256,1024,0.1,4,0.1,
8,64,1024,0.1,4,0.1,0.3149865327218388
8,256,1024,0.1,6,0.1,0.4171302618046389
8,128,1024,0.3,2,0.1,0.24162119754437703
8,256,1024,0.1,4,0.1,
8,256,1024,0.4,6,0.1,0.2690291863718913
8,256,1024,0.2,3,0.1,0.3587646138414373
