all_loss,all_auc,all_acc,all_mcc,all_f1,all_pre,all_se,all_sp,all_Youden_Index,all_Best_Threshold
0.606643407,0.721206453,0.659090909,0.316332145,0.612644702,0.671875,0.563011457,0.747368421,0.442150712,0.320879121
0.551530988,0.79320478,0.710031348,0.418527136,0.682130584,0.717902351,0.649754501,0.765413534,0.454547852,0.436493853
0.526412306,0.830540344,0.757836991,0.514407514,0.742714405,0.755932203,0.7299509,0.783458647,0.471344262,0.522656067
