nhead,d_model,dim_feedforward,dropout,num_layers,layerdrop,value
8,128,512,0.1,2,0.2,0.32567175729275266
8,128,1024,0.1,3,0.2,0.3562337218661318
2,256,1024,0.3,3,0.3,0.2642635006221264
4,64,512,0.4,6,0.1,0.19781383677720973
4,128,1024,0.1,4,0.2,0.3558820737572024
4,128,1024,0.2,3,0.1,0.3037146128655258
4,256,1024,0.3,2,0.2,0.28267322484499685
4,128,512,0.3,2,0.3,0.23460616865827905
2,64,512,0.2,3,0.3,0.23265134696150575
8,256,512,0.2,6,0.3,0.3327272309165549
8,128,256,0.1,4,0.2,0.341909703526014
8,128,1024,0.1,4,0.2,0.35992670425744905
8,128,1024,0.1,4,0.2,
8,128,256,0.1,3,0.2,0.3458094212538022
8,128,1024,0.4,4,0.2,0.21971042778196112
8,64,1024,0.1,4,0.2,0.29415677428093795
8,128,1024,0.1,3,0.1,0.36917475622857976
2,128,256,0.1,6,0.1,0.363134846449252
2,256,256,0.4,6,0.1,0.24992648586135813
2,64,256,0.1,6,0.1,0.30876706688235894
2,128,256,0.1,6,0.1,
2,128,256,0.1,6,0.1,
8,128,1024,0.1,4,0.1,0.3574859824616596
8,128,1024,0.1,3,0.1,
2,128,256,0.1,6,0.1,
8,128,1024,0.1,3,0.1,
2,128,256,0.2,4,0.1,0.3023918579814292
8,128,1024,0.3,2,0.1,0.25097767082591615
8,64,256,0.4,3,0.3,0.19251283219710089
2,256,1024,0.1,2,0.1,0.3709328345801354
2,256,512,0.1,2,0.1,0.3840178377069755
2,256,512,0.1,2,0.1,
2,256,512,0.1,2,0.1,
2,256,512,0.1,2,0.1,
2,256,512,0.1,2,0.1,
2,256,1024,0.1,2,0.1,
2,256,512,0.3,2,0.1,0.2912355454852366
2,256,1024,0.1,2,0.1,
4,256,1024,0.1,3,0.1,0.3811813644669012
4,256,1024,0.4,3,0.1,0.25121263597191934
4,256,1024,0.2,3,0.3,0.31026171974543726
4,256,1024,0.1,3,0.1,
4,256,1024,0.1,3,0.1,
4,256,512,0.1,2,0.1,0.3820224097051944
4,256,512,0.3,2,0.1,0.28672872312173203
4,256,512,0.1,2,0.1,
4,256,512,0.1,2,0.3,0.3463462707573691
4,256,512,0.1,2,0.1,
4,256,512,0.2,3,0.1,0.3339565378591223
4,64,1024,0.1,2,0.1,0.31336566651469544
