y,probs,preds
1.0,0.87729627,1.0
1.0,0.7801452,1.0
0.0,0.4670634,0.0
0.0,0.14155728,0.0
1.0,0.98228514,1.0
1.0,0.06967296,0.0
0.0,0.57584316,1.0
1.0,0.717517,1.0
1.0,0.91868,1.0
1.0,0.7285476,1.0
1.0,0.9921616,1.0
0.0,0.12775692,0.0
0.0,0.12535885,0.0
0.0,0.44920775,0.0
1.0,0.8258132,1.0
1.0,0.57525283,1.0
1.0,0.34019932,0.0
1.0,0.29667118,0.0
1.0,0.35602298,0.0
1.0,0.9552029,1.0
1.0,0.22885309,0.0
0.0,0.31294858,0.0
0.0,0.54678315,1.0
1.0,0.3949563,0.0
0.0,0.27019912,0.0
0.0,0.007215398,0.0
1.0,0.6850044,1.0
0.0,0.25468987,0.0
0.0,0.29929796,0.0
1.0,0.11481281,0.0
0.0,0.29777855,0.0
0.0,0.574553,1.0
0.0,0.22193837,0.0
0.0,0.023129044,0.0
0.0,0.099927515,0.0
0.0,0.04867837,0.0
0.0,0.60748845,1.0
0.0,0.24697806,0.0
1.0,0.53228354,1.0
0.0,0.0046249786,0.0
1.0,0.9678413,1.0
0.0,0.043910954,0.0
0.0,0.24709645,0.0
1.0,0.34421653,0.0
1.0,0.790543,1.0
0.0,0.18366152,0.0
0.0,0.46331412,0.0
1.0,0.72606885,1.0
1.0,0.9415649,1.0
1.0,0.65720904,1.0
1.0,0.32842627,0.0
1.0,0.5342855,1.0
1.0,0.769668,1.0
0.0,0.23860615,0.0
0.0,0.024541305,0.0
0.0,0.04183927,0.0
0.0,0.2313558,0.0
0.0,0.010772599,0.0
1.0,0.7873834,1.0
0.0,0.38079268,0.0
1.0,0.64808136,1.0
0.0,0.4352277,0.0
1.0,0.32390332,0.0
0.0,0.6515335,1.0
1.0,0.8968771,1.0
1.0,0.75400823,1.0
0.0,0.3842586,0.0
1.0,0.75137466,1.0
0.0,0.50500107,1.0
0.0,0.40503922,0.0
1.0,0.9655304,1.0
1.0,0.8603616,1.0
1.0,0.898724,1.0
0.0,0.022048905,0.0
0.0,0.31579965,0.0
1.0,0.9253144,1.0
0.0,0.21300407,0.0
1.0,0.98693603,1.0
1.0,0.8921407,1.0
1.0,0.61550087,1.0
0.0,0.8373449,1.0
1.0,0.57357806,1.0
0.0,0.50285655,1.0
0.0,0.54504675,1.0
1.0,0.856074,1.0
0.0,0.08423221,0.0
0.0,0.21096449,0.0
1.0,0.36110526,0.0
0.0,0.08237372,0.0
1.0,0.30040696,0.0
0.0,0.2645438,0.0
1.0,0.42553458,0.0
1.0,0.30191636,0.0
1.0,0.7054585,1.0
0.0,0.107717,0.0
1.0,0.32800546,0.0
1.0,0.8065454,1.0
0.0,0.4809568,0.0
0.0,0.05413935,0.0
1.0,0.936129,1.0
0.0,0.34733987,0.0
1.0,0.4196447,0.0
1.0,0.78009254,1.0
0.0,0.26774618,0.0
0.0,0.1012964,0.0
1.0,0.6605148,1.0
0.0,0.31289434,0.0
0.0,0.0046744687,0.0
0.0,0.12763765,0.0
1.0,0.19763766,0.0
0.0,0.21997122,0.0
1.0,0.72423226,1.0
0.0,0.056805737,0.0
0.0,0.210833,0.0
1.0,0.7376198,1.0
1.0,0.39968744,0.0
0.0,0.15290178,0.0
1.0,0.7628966,1.0
1.0,0.934808,1.0
1.0,0.40453923,0.0
0.0,0.24519101,0.0
1.0,0.5088544,1.0
0.0,0.5482138,1.0
1.0,0.73131186,1.0
1.0,0.055388678,0.0
1.0,0.7686647,1.0
0.0,0.26442322,0.0
0.0,0.48923036,0.0
0.0,0.28883472,0.0
0.0,0.52788633,1.0
1.0,0.09934647,0.0
0.0,0.30430797,0.0
1.0,0.34909,0.0
0.0,0.0915325,0.0
0.0,0.2113865,0.0
0.0,0.18562394,0.0
0.0,0.20546487,0.0
1.0,0.873959,1.0
1.0,0.6894642,1.0
0.0,0.14769311,0.0
0.0,0.90236247,1.0
0.0,0.4458486,0.0
1.0,0.9856625,1.0
1.0,0.61537397,1.0
1.0,0.8892825,1.0
0.0,0.4382805,0.0
0.0,0.3766031,0.0
0.0,0.2531555,0.0
1.0,0.9565066,1.0
0.0,0.20500404,0.0
1.0,0.876347,1.0
0.0,0.25241184,0.0
1.0,0.98371947,1.0
0.0,0.38883838,0.0
0.0,0.76404715,1.0
0.0,0.4988811,0.0
1.0,0.834711,1.0
0.0,0.27346757,0.0
1.0,0.29997933,0.0
1.0,0.35831055,0.0
0.0,0.31282693,0.0
0.0,0.53946257,1.0
0.0,0.39771065,0.0
0.0,0.35234043,0.0
1.0,0.4054123,0.0
0.0,0.6036803,1.0
1.0,0.7002207,1.0
0.0,0.32576486,0.0
0.0,0.1682709,0.0
0.0,0.0077733025,0.0
1.0,0.6089443,1.0
0.0,0.0117839705,0.0
1.0,0.9436341,1.0
0.0,0.0041880985,0.0
0.0,0.40042865,0.0
0.0,0.03722784,0.0
0.0,0.41440856,0.0
0.0,0.30270675,0.0
0.0,0.7152763,1.0
1.0,0.9067546,1.0
1.0,0.9290246,1.0
1.0,0.93301433,1.0
0.0,0.20155123,0.0
1.0,0.6564574,1.0
1.0,0.35839066,0.0
1.0,0.13077956,0.0
0.0,0.30716085,0.0
0.0,0.10630509,0.0
0.0,0.6753481,1.0
0.0,0.36391753,0.0
1.0,0.30340263,0.0
1.0,0.25665757,0.0
1.0,0.9748735,1.0
1.0,0.98451066,1.0
0.0,0.4294037,0.0
0.0,0.013448104,0.0
1.0,0.7040025,1.0
0.0,0.021038324,0.0
0.0,0.877342,1.0
0.0,0.3431057,0.0
1.0,0.11233625,0.0
1.0,0.9726007,1.0
0.0,0.2225459,0.0
1.0,0.8178647,1.0
1.0,0.41830483,0.0
0.0,0.26314962,0.0
0.0,0.26287645,0.0
1.0,0.36911735,0.0
1.0,0.8574046,1.0
1.0,0.90485495,1.0
0.0,0.67008364,1.0
0.0,0.3158899,0.0
0.0,0.55615646,1.0
0.0,0.41071954,0.0
1.0,0.9473147,1.0
0.0,0.3449831,0.0
0.0,0.110443585,0.0
1.0,0.53308386,1.0
0.0,0.34301266,0.0
0.0,0.26742727,0.0
1.0,0.31290084,0.0
0.0,0.06037822,0.0
1.0,0.756988,1.0
1.0,0.5008421,1.0
0.0,0.27361575,0.0
0.0,0.20629077,0.0
0.0,0.4100982,0.0
0.0,0.44739854,0.0
1.0,0.98243827,1.0
0.0,0.291368,0.0
1.0,0.80865484,1.0
1.0,0.49612826,0.0
0.0,0.37363973,0.0
0.0,0.36914647,0.0
1.0,0.90721726,1.0
1.0,0.76893324,1.0
1.0,0.31500053,0.0
0.0,0.090200014,0.0
0.0,0.17657104,0.0
0.0,0.34592623,0.0
1.0,0.59545296,1.0
0.0,0.22013673,0.0
0.0,0.15806358,0.0
0.0,0.38300857,0.0
1.0,0.8956746,1.0
0.0,0.49619058,0.0
0.0,0.3733219,0.0
1.0,0.6653112,1.0
0.0,0.09058414,0.0
0.0,0.37573054,0.0
0.0,0.02915475,0.0
1.0,0.43281922,0.0
1.0,0.642038,1.0
0.0,0.21079977,0.0
1.0,0.9317023,1.0
0.0,0.3370244,0.0
0.0,0.37768066,0.0
0.0,0.3905247,0.0
0.0,0.08090837,0.0
1.0,0.9091195,1.0
1.0,0.74186194,1.0
1.0,0.8319729,1.0
0.0,0.035363715,0.0
1.0,0.2734061,0.0
0.0,0.10571715,0.0
1.0,0.92955816,1.0
1.0,0.27850845,0.0
0.0,0.2812974,0.0
1.0,0.9475153,1.0
0.0,0.23642269,0.0
0.0,0.33751777,0.0
1.0,0.31658846,0.0
0.0,0.091911145,0.0
0.0,0.578193,1.0
0.0,0.15198126,0.0
1.0,0.9791212,1.0
0.0,0.19185172,0.0
1.0,0.2782488,0.0
0.0,0.37124246,0.0
1.0,0.14149296,0.0
1.0,0.15422459,0.0
1.0,0.64613867,1.0
0.0,0.2802211,0.0
0.0,0.16446131,0.0
1.0,0.4060479,0.0
0.0,0.45651722,0.0
1.0,0.6631614,1.0
0.0,0.13984704,0.0
0.0,0.7728214,1.0
1.0,0.35249665,0.0
0.0,0.047950808,0.0
1.0,0.45699364,0.0
0.0,0.025494685,0.0
0.0,0.61059546,1.0
0.0,0.41820955,0.0
1.0,0.5906174,1.0
0.0,0.16473289,0.0
1.0,0.9728487,1.0
0.0,0.34950355,0.0
0.0,0.47787383,0.0
1.0,0.93861955,1.0
1.0,0.566088,1.0
0.0,0.19325618,0.0
0.0,0.077752985,0.0
0.0,0.57012236,1.0
1.0,0.8595727,1.0
0.0,0.2829073,0.0
1.0,0.9210131,1.0
1.0,0.5373369,1.0
0.0,0.43303794,0.0
0.0,0.006660099,0.0
0.0,0.038718026,0.0
0.0,0.3035664,0.0
1.0,0.49667615,0.0
1.0,0.9067534,1.0
0.0,0.07787728,0.0
0.0,0.14317563,0.0
0.0,0.110461384,0.0
0.0,0.12753883,0.0
1.0,0.7818737,1.0
0.0,0.088800475,0.0
0.0,0.0049874303,0.0
1.0,0.5243728,1.0
0.0,0.87707055,1.0
1.0,0.20575576,0.0
0.0,0.34788397,0.0
1.0,0.9143196,1.0
1.0,0.4313313,0.0
0.0,0.33290395,0.0
0.0,0.40774333,0.0
1.0,0.5493168,1.0
1.0,0.33115494,0.0
1.0,0.66384107,1.0
1.0,0.34379017,0.0
0.0,0.40270826,0.0
1.0,0.99186593,1.0
0.0,0.012070422,0.0
0.0,0.6485844,1.0
0.0,0.36385524,0.0
0.0,0.29343903,0.0
0.0,0.207376,0.0
1.0,0.45094138,0.0
1.0,0.6015889,1.0
1.0,0.99108315,1.0
1.0,0.43866783,0.0
0.0,0.3665568,0.0
0.0,0.44467968,0.0
0.0,0.42468554,0.0
1.0,0.63737994,1.0
0.0,0.32977787,0.0
0.0,0.047938135,0.0
1.0,0.87109643,1.0
0.0,0.35583335,0.0
0.0,0.106733926,0.0
1.0,0.39439312,0.0
0.0,0.18208605,0.0
0.0,0.19216959,0.0
0.0,0.08206008,0.0
0.0,0.010449178,0.0
