compound_id,smiles,all_preds,all_probs
603.mol2  629,C[C@@H]1[NH2+][C@H](CCCCCCCCC[C@](O)(CN[C@]2(C)CCN[C@H](N)C2)CC(=O)[O-])[C@@H](n2ccnc2)C[C@H]1O,1,0.9740573
16313.mol217973,CC1=C[C@@H]2C(=O)c3cccc(O[C@@H]4O[C@H](CO)[C@@H](O)[C@@](O)(CCc5cc[nH+]c(N)c5)[C@H]4O)c3C(=O)[C@@H]2C(O)=C1,1,0.9733935
17676.mol219391,Cc1cc(=O)c2cc3c(c([N+]4=CC5=CC=[NH+]C5=C4)c2o1)OC(C)(C)[C@H](OOC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO)C3,1,0.97331536
33145.mol2Amsosinine,COC(=O)[C@H]1CO[C@@](C)(O)[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@H]12,1,0.9724823
45257.mol2Raumitorine,COC(=O)C1=CO[C@H](C)[C@H]2CN3CCc4c([nH]c5ccc(OC)cc45)[C@@H]3C[C@H]12,1,0.971518
32220.mol236973,CC[C@H](O)[C@@H]1CC[C@H]2O[C@@]34CCCN1[C@@H]2[C@H]3[C@H](C)/C(=C1\OC(=O)C(C)=C1OC)O4,1,0.971455
45844.mol2Sarcovagine_A,C/C=C(\C)C(=O)N[C@@H]1[C@H](O)[C@@H]2CC[C@H]3[C@H]4CC[C@H]([C@H](C)N(C)C)[C@@]4(C)CC[C@@H]3[C@@]2(C)C[C@@H]1O,1,0.9714347
35930.mol2Diangoutengjian_I,COC(=O)C[C@H]1CO[C@@](C)(O)[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@H]12,1,0.9711822
43799.mol2Oxystemokerrin,CC[C@@H](O)[C@@H]1CC[C@H]2O[C@@]34CCCN1[C@@H]2[C@H]3[C@H](C)/C(=C1\OC(=O)C(C)=C1OC)O4,1,0.9692044
32214.mol236967,CC[C@@H](O)[C@@H]1CC[C@H]2O[C@@]34CCCN1[C@@H]2[C@H]3[C@H](C)/C(=C1\OC(=O)C(C)=C1OC)O4,1,0.9692044
15269.mol216924,CCC/C=C1\OC(=O)C2=C1CC[C@H]1[C@H]3C=C4C(=O)O/C(=C\C[C@H](C)CNC)[C@@]4(CC3)[C@@H]21,1,0.96913785
37477.mol22-(Ethenylbutadiynyl)-5-(propinyl)-thiophene,C=CC#CC#Cc1ccc(C#CC)s1,1,0.968935
