compound_id,smiles,all_preds,all_probs
Z594284186,S(CCC)c1cc2[nH]c(NC(=O)OC)nc2cc1,1,0.98694324
Z2241984977,O=C(Nc1sc(C)cn1)C1N(C)S(=O)(=O)c2c(C1=O)cccc2,1,0.9863701
Z1198279578,Fc1cc2c(B(O)OC2)cc1,1,0.9860598
Z3281948767,S(=O)(=O)(Nc1sccn1)c1ccc(NC(=O)c2c(C(=O)[O-])cccc2)cc1.[Na+],1,0.9858359
Z1741977003,FC(F)(F)c1cc(CCCN[C@](C)c2c3c(ccc2)cccc3)ccc1.Cl,1,0.9857259
Z1557400300,O(C)c1c2O[C@@]3[C@]4(c2c(cc1)CN(C)CC4)C=C[C@](O)C3.Br,1,0.98505974
Z1551900487,Clc1nc(N)c2ncn([C@]3[C@@](F)[C@](O)[C@@](CO)O3)c2n1,1,0.98465353
Z2177953192,Clc1cc2[C@](C(F)(F)F)(C#CC3CC3)OC(=O)Nc2cc1,1,0.984018
Z995241886,S(=O)(=O)(N)c1sc2c(n1)ccc(OCC)c2,1,0.9824985
Z2044783305,O=C(O)[C@](O)[C@@](O)C(=O)O.n1c2c(ncc1)cc1c(c2)[C@]2CNC[C@@]1C2,1,0.98232526
Z2588038907,O=C(Nc1ncccc1)C=1N(C)S(=O)(=O)c2c(C=1O)scc2,1,0.9818164
Z1565440332,FC(F)(F)c1cc2N(CCCN3CCN(C)CC3)c3c(Sc2cc1)cccc3.Cl.Cl,1,0.98149866
Z89264780,C(CCCCCCCC)CCCCCCC[n+]1ccccc1.[Cl-],1,0.9810801
Z754918912,O=C(O)C(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1.Cl,1,0.9808584
Z2568666661,Fc1ccc(-c2c(/C=C/[C@@](O)C[C@@](O)CC(=O)[O-])n(C(C)C)c3c2cccc3)cc1.[Na+],1,0.9799675
Z3014322079,S(=O)(=O)(O)O.O=C(O[C@]1[C@](O)(C(=O)OC)[C@@]2N(C)c3c(cc(c(OC)c3)[C@]3(C(=O)OC)c4[nH]c5c(c4CCN4C[C@](O)(CC)C[C@@](C3)C4)cccc5)[C@@]32[C@@]2[C@@]1(CC)C=CCN2CC3)C,1,0.97955894
Z2756516872,S(=O)(=O)(N)c1sc2S(=O)(=O)[C@@](C)C[C@](NCC)c2c1.Cl,1,0.97910804
Z2196311755,O=C([O-])c1c(O)c(Cc2c(O)c(C(=O)[O-])cc3c2cccc3)c2c(c1)cccc2.N(C)(C)c1cc2c([n+](C)c(/C=C/c3c(C)n(c(C)c3)-c3ccccc3)cc2)cc1.N(C)(C)c1cc2c([n+](C)c(/C=C/c3c(C)n(c(C)c3)-c3ccccc3)cc2)cc1,1,0.9786522
Z2315585555,O=C(OC)/C=C/C(=O)O,1,0.97801936
Z57664869,Clc1c(Nc2c(CC(=O)O)cccc2)c(Cl)ccc1,1,0.97738737
Z2213886907,O=C(N[C@@](CC(C)C)B(O)O)[C@@](NC(=O)c1nccnc1)Cc1ccccc1,1,0.9768165
Z1546616207,S(=O)(=O)(O)O.O=C(N[C@@]1[C@](O)Cc2c1cccc2)[C@@](C[C@](O)CN1[C@](C(=O)NC(C)(C)C)CN(Cc2cnccc2)CC1)Cc1ccccc1,1,0.9763633
Z2636644167,[P@@](=O)(Oc1ccccc1)(N[C@](C(=O)OC(C)C)C)CO[C@@](Cn1c2ncnc(N)c2nc1)C.O=C(O)/C=C/C(=O)O,1,0.97633046
Z754926486,O=C(O[C@]1[C@](C)[C@](O)[C@](C)[C@@](O)[C@@](C)C=C/C=C(/C)\C(=O)NC=2C(=O)c3c(O)c(C)c4O[C@@](C)(C(=O)c4c3C3=NC4(NC=23)CCN(CC(C)C)CC4)O/C=C\[C@](OC)[C@]1C)C,1,0.97553533
Z2037279542,Clc1ccc(C2=C(CN3CCN(c4cc(Oc5cnc6[nH]ccc6c5)c(C(=O)NS(=O)(=O)c5cc([N+](=O)[O-])c(NCC6CCOCC6)cc5)cc4)CC3)CCC(C)(C)C2)cc1,1,0.9746514
Z1631505638,FC(F)(F)c1cc2N(CCCN(C)C)c3c(Sc2cc1)cccc3.Cl,1,0.9744726
Z2235802810,O=C(OC)/C=C/C(=O)OC,1,0.97396404
Z2242135673,S(=O)(=O)(NC(=O)COCCCCN(C(C)C)c1nc(c(-c2ccccc2)nc1)-c1ccccc1)C,1,0.97370183
Z1521553705,S(=O)(=O)(NC(=N)CCSCc1nc(/N=C(\N)/N)sc1)N,1,0.97353745
Z2216885372,S(c1c(C(=O)NC)cccc1)c1cc2[nH]nc(/C=C/c3ncccc3)c2cc1,1,0.97338665
Z2568727518,Clc1c(F)ccc(Nc2ncnc3c2cc(NC(=O)/C=C/CN(C)C)c(O[C@@]2COCC2)c3)c1,1,0.97315663
Z1546616192,O=C(N)C(c1ccccc1)(c1ccccc1)[C@]1CN(CCc2cc3c(OCC3)cc2)CC1.Br,1,0.9730429
Z3025678941,O=C(N[C@@]1C(=O)N2[C@@](C(=O)[O-])C(C)(C)S[C@]12)c1c(OCC)ccc2c1cccc2.[Na+],1,0.97284377
Z2050038784,O=C(O)[C@](O)[C@@](O)C(=O)O.O[C@@]([C@@](N)C)c1cc(O)ccc1,1,0.97237045
Z2235811384,O(C)c1cc2c([C@@](O)[C@]3N4C[C@](C=C)[C@](C3)CC4)ccnc2cc1,1,0.9711247
Z1530532762,S(=O)(=O)(Nc1c(Oc2c(OC)cccc2)c(OCCO)nc(-c2ncccn2)n1)c1ccc(C(C)(C)C)cc1,1,0.97111994
Z1820079046,S(=O)(=O)(O)C.N(CC#C)[C@]1c2c(cccc2)CC1,1,0.9708388
Z2512943095,Brc1cc(F)c(Nc2ncnc3c2cc(OC)c(OCC2CCN(C)CC2)c3)cc1,1,0.9707802
Z1741976976,O(C)c1cc2c([C@](O)[C@@]3N4C[C@](C=C)[C@](C3)CC4)ccnc2cc1,1,0.970169
Z3400110582,S(=O)(=O)(OC)[O-].N(C)(C)c1cc2c([n+](C)c(/C=C/c3c(C)n(c(C)c3)-c3ccccc3)cc2)cc1,1,0.96991974
Z1532363097,FC(F)(F)c1nc2c(C(F)(F)F)cccc2c([C@@](O)[C@]2NCCCC2)c1.Cl,1,0.9693067
Z203045352,S(=O)(=O)(O)c1cc2[nH]c(-c3ccccc3)nc2cc1,1,0.968934
Z1614451557,FC1(F)CCC(C(=O)N[C@@](CCN2[C@]3CC(n4c(C(C)C)nnc4C)C[C@@]2CC3)c2ccccc2)CC1,1,0.9687026
