tr_loss,tr_auc,tr_acc,tr_mcc,tr_f1,tr_pre,tr_se,tr_sp,tr_Youden_Index,tr_Best_Threshold
0.6805216323111448,0.5819417324489788,0.5543941153697252,0.10426046925276922,0.5118744698897371,0.5385988398036591,0.48767676767676765,0.6157562244518766,0.11121718860849295,0.47606563568115234
0.6701138702339432,0.6140721784924683,0.575687185443283,0.1459509149677119,0.5139689578713968,0.5695331695331696,0.4682828282828283,0.6744704570791528,0.15963244484983619,0.44305121898651123
0.6610415814092654,0.6362238700644498,0.5963027487417731,0.18831559293965022,0.545890038105607,0.5919716646989375,0.5064646464646465,0.6789297658862876,0.18693354954224523,0.4962137043476105
0.649283249680841,0.6590055328461126,0.6096593108788231,0.2154914689570962,0.5602442481735906,0.6086235489220564,0.518989898989899,0.6930509104422148,0.22146751798925712,0.4584742486476898
0.6449070214856151,0.6656000360348188,0.6117886178861789,0.2198383745385262,0.5642585551330799,0.6103407755581669,0.5246464646464647,0.6919360832404311,0.22176412959021657,0.47966691851615906
0.6358471490650354,0.6817353580397059,0.6254355400696864,0.24759461314060516,0.5844072164948454,0.6237964236588721,0.5496969696969697,0.6950947603121517,0.2527245701158745,0.5128164887428284
0.6304827606530381,0.6897921241399503,0.6335656213704994,0.26410666444338143,0.5968909710391823,0.6310220621341738,0.5662626262626262,0.6954663693794129,0.26309854396810917,0.4951156675815582
0.6245682132502458,0.7003561816605295,0.6441153697251258,0.2854381214512165,0.6088713966599298,0.6430015726802966,0.5781818181818181,0.7047565960609439,0.28636059592581325,0.4934353530406952
0.6189871397180823,0.7114116077159556,0.654084397986837,0.30559011726114527,0.6193823216187433,0.6549549549549549,0.5874747474747475,0.7153474544778893,0.31182595182595185,0.46983543038368225
0.6121555400706666,0.7186151181078717,0.6581494386372435,0.3138372361032923,0.6287576203489594,0.6553461875547765,0.6042424242424242,0.7077294685990339,0.3136144049187527,0.49641597270965576
0.6037337550253322,0.728245873825584,0.6629887727448703,0.32358517250588664,0.6337050284031138,0.6611062335381914,0.6084848484848485,0.7131178000743218,0.3232012432012432,0.5022753477096558
0.5995341954585568,0.7364075350307234,0.6748935346496322,0.34760373268454053,0.6442867732712062,0.677053193857111,0.6145454545454545,0.7303976217019695,0.3478477078477078,0.49283266067504883
0.600245861353889,0.7341151575209546,0.671602787456446,0.3410327889024659,0.6380027739251041,0.676011756726204,0.604040404040404,0.7337421033073207,0.34137495354886654,0.5052757263183594
0.5914810322940165,0.7435844322076206,0.6758614014711576,0.34955624688125997,0.6454208575966119,0.6780867630700779,0.6157575757575757,0.731140839836492,0.3498929090233438,0.489958792924881
0.5874966365449569,0.7492942242942244,0.6805071622144793,0.35899332704971415,0.6488671417934262,0.6852392720736913,0.6161616161616161,0.7396878483835005,0.358804770109118,0.503591775894165
0.5858309583582745,0.7525752883723897,0.6843786295005807,0.3669601924763089,0.6508191455187922,0.6924128503075871,0.6139393939393939,0.7491638795986622,0.3703888382149252,0.4888576865196228
0.5723418913574042,0.7660384784297828,0.6974448315911731,0.3932151836038658,0.6676589411014247,0.7046678635547576,0.6343434343434343,0.7554812337421033,0.392048241613459,0.4953879415988922
0.5708039976864038,0.7674084208866818,0.6974448315911731,0.3934487913510524,0.6649517684887459,0.7082191780821918,0.6266666666666667,0.7625418060200669,0.39314820445255233,0.4894430935382843
0.5663006080562485,0.7725358752894985,0.6975416182733256,0.3934721335071367,0.6669508685921347,0.705842544552222,0.6321212121212121,0.7577108881456708,0.39500760109455757,0.4908203184604645
0.5682043544832767,0.7690948128629288,0.6942508710801394,0.3867359358018935,0.6645428480407773,0.7004701141705842,0.6321212121212121,0.7513935340022296,0.3896287287591635,0.47216951847076416
0.5573788718911517,0.781097654358524,0.7059620596205962,0.41045201359375066,0.6767397318578421,0.7149280575539568,0.6424242424242425,0.7643998513563731,0.41041113475896085,0.4815562665462494
0.5579962127902559,0.7796841885972321,0.7025745257452575,0.4034010643810422,0.6762877910038976,0.7065815540391811,0.6484848484848484,0.7523225566703827,0.4078274382622209,0.48475977778434753
0.5492807747594344,0.7894295425454846,0.7115756871854433,0.4215647940036177,0.6858528357579591,0.7171516754850088,0.6571717171717172,0.7616127833519137,0.4261991148947671,0.46613508462905884
0.5444332256036646,0.7932764846532963,0.7168989547038328,0.4324347577877057,0.6899841017488076,0.725752508361204,0.6575757575757576,0.7714604236343366,0.4336549440897267,0.46676814556121826
0.5414821250888955,0.7957045182407502,0.7215447154471545,0.4419865182069554,0.6935775907977421,0.7334985357062401,0.6577777777777778,0.7801932367149759,0.4387851761764805,0.5060214996337891
0.544745046933738,0.7945011617475386,0.7143825009678668,0.4276669331836897,0.6843512675152422,0.7272107297112981,0.6462626262626263,0.7770345596432553,0.4340677679808115,0.46095964312553406
0.5394634458671782,0.7985297418630752,0.7180603948896632,0.43465465626316985,0.6927539289104525,0.7247848157139705,0.6634343434343435,0.7683017465626161,0.43730076686598424,0.48456650972366333
0.5360236858989432,0.8013121929063959,0.7249322493224932,0.44858779237811025,0.6994500846023689,0.7339103417665335,0.668080808080808,0.7772203641768859,0.4461315496098105,0.5043724775314331
0.5302825777707824,0.8057092665788318,0.7274487030584591,0.45367323658505837,0.7021366617304845,0.7369005328596803,0.6705050505050505,0.7798216276477146,0.45601905341035776,0.5096611976623535
