tcm_id,smiles
27703.mol230302,C[C@@H]([C@@H](O)c1ccccc1)N(C)C
25997.mol228110,C[C@@H]([C@H](O)c1ccccc1)N(C)C
26271.mol228437,Nc1[nH]c(=O)c2ncc(=O)[nH]c2[nH+]1
26443.mol228628,OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O
26445.mol228630,OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O
26393.mol228572,O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@H]1O
40215.mol2Inositol_b,O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@H]1O
40216.mol2Inositol_c,O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O
30193.mol233926,OC[C@H]1O[C@@](O)(CO)[C@@H](O)[C@@H]1O
30194.mol233927,OC[C@H]1O[C@](O)(CO)[C@@H](O)[C@@H]1O
26854.mol229136,O=C[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
25809.mol227843,O=C(O)/C=C/c1ccc(O)c(O)c1
"36740.mol21,3-Dimethylisoguaninium",Cn1c(=[NH2+])c2[nH]cnc2n(C)c1=O
27187.mol229599,COc1cc(/C=C/CO)ccc1O
35049.mol2trans-Coniferyl_alcohol,COc1cc(/C=C/CO)ccc1O
42564.mol2Methyl_4-methoxyphenylacetate,COC(=O)Cc1ccc(OC)cc1
31269.mol235601,C=Cc1cc(OC)c(O)c(OC)c1
39801.mol22-(1'-Hydroxy-2'-oxopropyl)-5-methylphenol,CC(=O)[C@@H](O)c1ccc(C)cc1O
28175.mol230946,CC(=O)[C@@H](O)c1ccc(C)cc1O
31260.mol235590,COc1cc(CCC=O)ccc1O
31002.mol235213,COc1cc(OC)cc(C(C)=O)c1
42112.mol2p-Methoxydihydrocinnamic_acid,COc1ccc(CCC(=O)O)cc1
"37519.mol25-Ethyl-1-methoxy-2,3-methylenedioxybenzene",CCc1cc(OC)c2c(c1)OCO2
9697.mol2 10829,C=C1[C@H]2CC[C@](C=O)([C@@H]2O)C1(C)C
28483.mol231423,C=C(C)[C@H]1CC=C(OC(C)=O)CC1
40708.mol2Jasmololone,CC/C=C\CC1=C(C)[C@@H](O)CC1=O
43270.mol2Nortricycloekasantalic_acid,C[C@@]12[C@@H]3C[C@@H](C[C@@H]31)[C@@]2(C)CC(=O)O
9472.mol2 10604,C[C@]12CC[C@H]3[C@H](CCC[C@]31C)[C@H]2O
9471.mol2 10603,C[C@@]12CC[C@H]3C[C@]1(O)CCC[C@]32C
8815.mol2 9937,C[C@]12CC[C@H]3[C@H](CCC[C@@]3(C)O1)C2
"36223.mol22,4-Dihydroxy-1,4-benzoxazin-3-one",O=C1[C@@H](O)Oc2ccccc2N1O
39840.mol2(2S)-(O-Hydroxyphenyl)lactate,O=C([O-])[C@@H](O)Cc1ccccc1O
47772.mol2(S)-Tyrosine,N[C@@H](Cc1ccc(O)cc1)C(=O)O
27365.mol229826,N[C@@H](Cc1ccc(O)cc1)C(=O)O
41746.mol2Lysichitalexin,COc1ccc(CC[N+](=O)[O-])cc1
26775.mol229034,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
27366.mol229827,OC[C@H](O)[C@H](O)[C@@H](O)[C@@H](O)CO
"36609.mol22,6-Dimethoxy_benzoic_acid",COc1cccc(OC)c1C(=O)O
27119.mol229513,COc1cccc(OC)c1C(=O)O
"37503.mol2Ethyl_3,4-dihydroxybenzoate",CCOC(=O)c1ccc(O)c(O)c1
42588.mol2Methyl_orsellinate,COC(=O)c1c(C)cc(O)cc1O
28220.mol230994,COc1cc(C=O)cc(OC)c1O
46642.mol2Syringaldehyde,COc1cc(C=O)cc(OC)c1O
31300.mol235637,COC(=O)c1ccc(O)c(OC)c1
42692.mol2Methyl_vanillate,COC(=O)c1ccc(O)c(OC)c1
"36610.mol23,4-Dimethoxybenzoic_acid",COc1ccc(C(=O)O)cc1OC
28626.mol231725,COc1cc(OC)cc(C(=O)O)c1
"36611.mol23,5-Dimethoxybenzoic_acid",COc1cc(OC)cc(C(=O)O)c1
"36402.mol22,4'-Dihydroxy-3'-methoxyacetophenone",COc1cc(C(=O)CO)ccc1O
"36515.mol23-(3,4-Dihydroxyphenyl)propanoic_acid",O=C(O)CCc1ccc(O)c(O)c1
28668.mol231790,O=C(O)CCc1ccc(O)c(O)c1
