smiles,fda_id
P(=O)(O)(O)O.O(C)c1cc(NC(CCCN)C)c2ncccc2c1,Z732242096
S(=O)(=O)(N)C=1S/C(=N/C(=O)C)/N(C)N=1,Z728800602
O=C(N)c1c(O)cccc1,Z68590124
O=C(Nc1c(C)cccc1C)CN1CCN(CC(O)COc2c(OC)cccc2)CC1,Z68563450
O=C(NCc1ccc(OCCN(C)C)cc1)c1cc(OC)c(OC)cc1,Z667612124
O=C(NCc1ccc(OCCN(C)C)cc1)c1cc(OC)c(OC)c(OC)c1,Z667611948
Clc1c(C(O)CNC(C)C)cccc1,Z666296432
O=C1N(C)C(=O)CC1(C)c1ccccc1,Z649373426
O=C(N(CC)CC)N1CCN(C)CC1,Z641623606
O=C1[C@]2(O)O[C@@]3[C@@](NC)[C@@](O)[C@@](NC)[C@](O)[C@]3O[C@@]2O[C@](C)C1.Cl.Cl.O.O.O.O.O,Z608353996
O=C(CCc1ccccc1)c1c(OCC(O)CNCCC)cccc1.Cl,Z608353988
O=C(OCC)CCC(=O)O[C@]1[C@](O[C@]2[C@@](O)(C)C[C@@](C)C(=O)[C@](C)[C@@](O)[C@@](O)(C)[C@@](CC)OC(=O)[C@](C)[C@@](O[C@@]3O[C@@](C)[C@](O)[C@@](OC)(C)C3)[C@@]2C)O[C@](C)C[C@@]1N(C)C,Z608353986
Brc1c(NC2=NCCN2)ccc2nccnc12,Z608061562
O(CC(O)CNC(C)(C)C)c1c2c(ccc1)C[C@@](O)[C@@](O)C2,Z608060832
O=C(Nc1ncccc1)Cc1ccc(-c2ccccc2)cc1,Z60744762
O=C(OCC(=O)[C@]1(O)[C@]2(C)[C@]([C@]3[C@@]([C@]4(C)C(=CC(=O)CC4)CC3)[C@@](O)C2)CC1)C,Z600425184
O=C(OCC[N+](C)(C)C)C.[Br-],Z600425176
Cc1c[nH]nc1,Z600419582
S(=O)(=O)([O-])CCS.[Na+],Z594284202
O(C(CO)CO)Cn1c2NC(N)=NC(=O)c2nc1,Z594284200
O=C(N)c1nn([C@]2[C@](O)[C@](O)[C@@](CO)O2)cn1,Z594284196
Clc1c(NC2=NCCN2)c2nsnc2cc1.Cl,Z594284192
S(CCC)c1cc2[nH]c(NC(=O)OC)nc2cc1,Z594284186
O=C(NO)C,Z59181917
O=C(NN)c1ccncc1,Z58981801
N(N)c1nncc2c1cccc2.Cl,Z57980178
O=[N+](OCCNC(=O)c1cnccc1)[O-],Z57965636
O(C)c1c(O)ccc(/C=C/C)c1,Z57953030
O/N=C/c1[n+](C)cccc1.[Cl-],Z57931208
N(C)(C)c1nc(N(C)C)nc(N(C)C)n1,Z57931197
Clc1c(NC(=O)c2c(O)ccc(Cl)c2)ccc([N+](=O)[O-])c1,Z57902203
Sc1n(C)ccn1,Z57901905
Ic1c(O)c2ncccc2c(I)c1,Z57825347
Clc1ccc(OC(C(=O)O)(C)C)cc1,Z57727844
Clc1c(Nc2c(CC(=O)O)cccc2)c(Cl)ccc1,Z57664869
O=C(Nc1c(C)cccc1C)C1N(CCCC)CCCC1,Z57479431
O=C(O)CN1c2c(C(=O)c3c1cccc3)cccc2,Z57473348
O=C1N(N(c2ccccc2)C(=O)C1CCCC)c1ccccc1,Z57355370
Clc1ccc(OCC(=O)OCCN(C)C)cc1.Cl,Z57281900
OC(CCCN1CCCCC1)(c1ccccc1)c1ccccc1.Cl,Z57257314
O=C1OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2c1cccc2,Z57233591
O=C(Oc1ccccc1)c1c(O)cccc1,Z57206005
